budget,id,revenue,title,return,release_year,director
19000000.0,755,25836616.0,From Dusk Till Dawn,1.359821894736842,1996,Robert Rodriguez
50000000.0,11859,11534477.0,Fair Game,0.23068954,1995,Andrew Sipes
0.0,28387,718490.0,Kicking and Screaming,inf,1995,Noah Baumbach
0.0,48750,0.0,Les Miserables,0.0,1995,Claude Lelouch
0.0,20927,19030691.0,Bed of Roses,inf,1996,Michael Goldenberg
15000000.0,36929,2042530.0,Big Bully,0.1361686666666666,1996,Steve Miner
20000000.0,9102,5781885.0,Screamers,0.28909425,1995,Christian Duguay
0.0,124626,0.0,Nico Icon,0.0,1995,Susanne Ofteringer
0.0,27526,0.0,The Crossing Guard,0.0,1995,Sean Penn
44000000.0,9623,0.0,The Juror,0.0,1996,Brian Gibson
0.0,46785,0.0,The White Balloon,0.0,1995,Jafar Panahi
8000000.0,400,529766.0,Things to Do in Denver When You're Dead,0.06622075,1995,Gary Fleder
900000.0,880,0.0,Antonia's Line,0.0,1995,Marleen Gorris
0.0,146599,0.0,Once Upon a Time... When We Were Colored,0.0,1996,Tim Reid
0.0,188588,0.0,Last Summer in the Hamptons,0.0,1995,Henry Jaglom
0.0,8447,0.0,Angels and Insects,0.0,1995,Philip Haas
38000000.0,10534,10300000.0,White Squall,0.2710526315789474,1996,Ridley Scott
16000000.0,17414,0.0,Dunston Checks In,0.0,1996,Ken Kwapis
0.0,13997,32.0,Black Sheep,inf,1996,Penelope Spheeris
8169363.0,2086,8175346.0,Nick of Time,1.000732370443081,1995,John Badham
0.0,61548,0.0,The Journey of August King,0.0,1995,John Duigan
47000000.0,9095,12379402.0,Mary Reilly,0.2633915319148936,1996,Stephen Frears
14000000.0,12158,19800000.0,Vampire in Brooklyn,1.4142857142857144,1995,Wes Craven
0.0,9283,0.0,Beautiful Girls,0.0,1996,Ted Demme
50000000.0,9208,150270147.0,Broken Arrow,3.00540294,1996,John Woo
0.0,40154,0.0,A Midwinter's Tale,0.0,1995,Kenneth Branagh
3000000.0,406,0.0,La Haine,0.0,1995,Mathieu Kassovitz
0.0,45549,0.0,Shopping,0.0,1994,Paul W.S. Anderson
0.0,63076,0.0,Heidi Fleiss: Hollywood Madam,0.0,1995,Nick Broomfield
0.0,11062,0.0,City Hall,0.0,1996,Harold Becker
7000000.0,13685,560069.0,Bottle Rocket,0.0800098571428571,1996,Wes Anderson
0.0,47475,0.0,Mr. Wrong,0.0,1996,Nick Castle
18000000.0,2045,0.0,Unforgettable,0.0,1996,John Dahl
12000000.0,9614,41205099.0,Happy Gilmore,3.43375825,1996,Dennis Dugan
24000000.0,688,182016617.0,The Bridges of Madison County,7.584025708333333,1995,Clint Eastwood
0.0,11907,0.0,Nobody Loves Me,0.0,1994,Doris Dörrie
0.0,10874,34327391.0,Muppet Treasure Island,inf,1996,Brian Henson
0.0,89333,0.0,Catwalk,0.0,1995,Robert Leacock
0.0,96357,0.0,Headless Body in Topless Bar,0.0,1995,James Bruce
72000000.0,197,210000000.0,Braveheart,2.9166666666666665,1995,Mel Gibson
1300000.0,103,28262574.0,Taxi Driver,21.74044153846154,1976,Martin Scorsese
7500000.0,33542,32392047.0,Rumble in the Bronx,4.3189396,1995,Stanley Tong
35000000.0,43566,0.0,Before and After,0.0,1996,Barbet Schroeder
0.0,71754,0.0,Margaret's Museum,0.0,1995,Mort Ransen
13365000.0,43612,0.0,Happiness Is in the Field,0.0,1995,Étienne Chatiliez
0.0,51352,1.0,Anne Frank Remembered,inf,1995,Jon Blair
0.0,16934,0.0,The Young Poisoner's Handbook,0.0,1995,Benjamin Ross
0.0,10324,0.0,If Lucy Fell,0.0,1996,Eric Schaeffer
25000000.0,78406,6278139.0,Steal Big Steal Little,0.25112556,1995,Andrew Davis
0.0,55731,0.0,Race the Sun,0.0,1996,Charles T. Kanganis
0.0,32119,0.0,The Boys of St. Vincent,0.0,1992,John N. Smith
40000000.0,11066,70100000.0,Boomerang,1.7525,1992,Reginald Hudlin
0.0,11104,0.0,Chungking Express,0.0,1994,Wong Kar-wai
0.0,37975,0.0,The Star Maker,0.0,1995,Giuseppe Tornatore
7000000.0,2074,14702438.0,Flirting with Disaster,2.100348285714286,1996,David O. Russell
17000000.0,27793,0.0,The Neverending Story III: Escape from Fantasia,0.0,1994,Peter MacDonald
0.0,44284,0.0,The Silences of the Palace,0.0,1994,Moufida Tlatli
0.0,290157,0.0,Jupiter's Wife,0.0,1995,Michel Negroponte
0.0,110972,0.0,Pie in the Sky,0.0,1996,Bryan Gordon
0.0,32622,0.0,Angela,0.0,1995,Rebecca Miller
0.0,73067,0.0,Frankie Starlight,0.0,1995,Michael Lindsay-Hogg
50000000.0,11863,9851610.0,Jade,0.1970322,1995,William Friedkin
0.0,55475,0.0,Nueba Yol,0.0,1995,Ángel Muñiz
0.0,124636,0.0,Sonic Outlaws,0.0,1995,Craig Baldwin
0.0,9101,0.0,Down Periscope,0.0,1996,David S. Ward
0.0,123360,0.0,From the Journals of Jean Seberg,0.0,1995,Mark Rappaport
0.0,5757,209935.0,Man of the Year,inf,1995,Dirk Shafer
0.0,39428,0.0,The Neon Bible,0.0,1995,Terence Davies
0.0,124639,0.0,Target,0.0,1995,Sandip Ray
60000000.0,9302,0.0,Up Close & Personal,0.0,1996,Jon Avnet
31000000.0,11000,185260553.0,The Birdcage,5.976146870967742,1996,Mike Nichols
0.0,249882,0.0,Virgin Mary,0.0,1995,Jakov Sedlar
0.0,16388,0.0,The Brothers McMullen,0.0,1995,Edward Burns
19000000.0,9737,141407024.0,Bad Boys,7.442474947368421,1995,Michael Bay
0.0,30765,0.0,The Amazing Panda Adventure,0.0,1995,Christopher Cain
0.0,10474,0.0,The Basketball Diaries,0.0,1995,Scott Kalvert
4000000.0,22279,851545.0,An Awfully Big Adventure,0.21288625,1995,Mike Newell
0.0,30157,0.0,Amateur,0.0,1994,Hal Hartley
52000000.0,568,355237933.0,Apollo 13,6.831498711538462,1995,Ron Howard
28000000.0,11780,31596911.0,Rob Roy,1.1284611071428572,1995,Michael Caton-Jones
0.0,34996,0.0,The Addiction,0.0,1995,Abel Ferrara
100000000.0,414,336529144.0,Batman Forever,3.36529144,1995,Joel Schumacher
0.0,649,0.0,Belle de Jour,0.0,1967,Luis Buñuel
0.0,1873,0.0,Beyond Rangoon,0.0,1995,John Boorman
2000000.0,5894,1275000.0,Blue in the Face,0.6375,1995,Paul Auster
11000000.0,1775,178104.0,Canadian Bacon,0.0161912727272727,1995,Michael Moore
50000000.0,8839,287928194.0,Casper,5.75856388,1995,Brad Silberling
25000000.0,20649,13071518.0,Clockers,0.52286072,1995,Spike Lee
50000000.0,10329,152022101.0,Congo,3.04044202,1995,Frank Marshall
53000000.0,8963,157387195.0,Crimson Tide,2.969569716981132,1995,Tony Scott
0.0,26564,3174695.0,Crumb,inf,1994,Terry Zwigoff
7000000.0,8068,25405445.0,Desperado,3.6293492857142855,1995,Robert Rodriguez
27000000.0,8512,16140822.0,Devil in a Blue Dress,0.5978082222222222,1995,Carl Franklin
90000000.0,1572,366101666.0,Die Hard: With a Vengeance,4.067796288888889,1995,John McTiernan
0.0,13552,0.0,The Doom Generation,0.0,1995,Gregg Araki
0.0,259209,0.0,Feast of July,0.0,1995,Christopher Menaul
55000000.0,6520,127600435.0,First Knight,2.320007909090909,1995,Jerry Zucker
0.0,9073,0.0,Free Willy 2 - The Adventure Home,0.0,1995,Dwight H. Little
20000000.0,10428,7563728.0,Hackers,0.3781864,1995,Iain Softley
0.0,17447,0.0,Jeffrey,0.0,1995,Christopher Ashley
25000000.0,9886,19075720.0,Johnny Mnemonic,0.7630288,1995,Robert Longo
90000000.0,9482,113493481.0,Judge Dredd,1.2610386777777778,1995,Danny Cannon
0.0,19326,17014653.0,Jury Duty,inf,1995,John Fortenberry
1500000.0,9344,7412216.0,Kids,4.941477333333333,1995,Larry Clark
500000.0,9071,1148752.0,Living in Oblivion,2.297504,1995,Tom DiCillo
0.0,8973,0.0,Lord of Illusions,0.0,1995,Clive Barker
0.0,15730,0.0,Love & Human Remains,0.0,1993,Denys Arcand
0.0,47608,15453274.0,Mad Love,inf,1995,Antonia Bird
6000000.0,2293,2122561.0,Mallrats,0.3537601666666666,1995,Kevin Smith
15000000.0,9070,66000000.0,Mighty Morphin Power Rangers: The Movie,4.4,1995,Bryan Spicer
0.0,68274,0.0,Moonlight and Valentino,0.0,1995,David Anspaugh
2.0,48787,1.0,Mute Witness,0.5,1995,Anthony Waller
0.0,34574,0.0,Nadja,0.0,1994,Michael Almereyda
22000000.0,1642,110627965.0,The Net,5.028543863636363,1995,Irwin Winkler
0.0,11472,69660733.0,Nine Months,inf,1995,Chris Columbus
150000.0,36196,472370.0,Party Girl,3.1491333333333333,1995,Daisy von Scherler Mayer
8.0,11980,16.0,The Prophecy,2.0,1995,Gregory Widen
0.0,58372,0.0,Reckless,0.0,1995,Norman René
0.0,32646,0.0,Safe,0.0,1995,Todd Haynes
50000000.0,10533,10382407.0,The Scarlet Letter,0.20764814,1995,Roland Joffé
45000000.0,10802,20350754.0,Showgirls,0.4522389777777778,1995,Paul Verhoeven
7000000.0,10149,8349430.0,Smoke,1.1927757142857145,1995,Wayne Wang
0.0,18402,50892160.0,Something to Talk About,inf,1995,Lasse Hallström
35000000.0,9348,113374103.0,Species,3.2392600857142857,1995,Roger Donaldson
0.0,139408,0.0,The Stars Fell on Henrietta,0.0,1995,James Keach
42000000.0,281,7959291.0,Strange Days,0.1895069285714285,1995,Kathryn Bigelow
0.0,5967,0.0,The Umbrellas of Cherbourg,0.0,1964,Jacques Demy
14000000.0,79593,5780000.0,The Tie That Binds,0.4128571428571428,1995,Wesley Strick
0.0,47939,7025496.0,Three Wishes,inf,1995,Martha Coolidge
0.0,36834,339889.0,Total Eclipse,inf,1995,Agnieszka Holland
0.0,9090,47774193.0,"To Wong Foo, Thanks for Everything! Julie Newmar",inf,1995,Beeban Kidron
60000000.0,3512,104324083.0,Under Siege 2: Dark Territory,1.738734716666667,1995,Geoff Murphy
0.0,52856,0.0,Unstrung Heroes,0.0,1995,Diane Keaton
0.0,77350,0.0,Unzipped,0.0,1995,Douglas Keeve
20000000.0,9560,50012507.0,A Walk in the Clouds,2.50062535,1995,Alfonso Aráu
175000000.0,9804,264218220.0,Waterworld,1.5098184,1995,Kevin Reynolds
8000000.0,31611,0.0,White Man's Burden,0.0,1995,Desmond Nakano
30000000.0,65796,0.0,Wild Bill,0.0,1995,Walter Hill
0.0,49805,0.0,The Browning Version,0.0,1994,Mike Figgis
0.0,26258,0.0,Bushwhacked,0.0,1995,Greg Beeman
2800000.0,50797,2616503.0,Burnt by the Sun,0.9344653571428572,1994,Nikita Mikhalkov
0.0,19155,763847.0,Before the Rain,inf,1994,Milčo Mančevski
2500000.0,76,5535405.0,Before Sunrise,2.214162,1995,Richard Linklater
10000000.0,11017,26488734.0,Billy Madison,2.6488734,1995,Tamra Davis
0.0,37141,0.0,The Babysitter,0.0,1995,Guy Ferland
21000000.0,9382,23450000.0,Boys on the Side,1.1166666666666667,1995,Herbert Ross
0.0,6715,0.0,The Cure,0.0,1995,Peter Horton
0.0,18256,0.0,Castle Freak,0.0,1995,Stuart Gordon
0.0,22625,0.0,Circle of Friends,0.0,1995,Pat O'Connor
27000.0,2292,3151130.0,Clerks,116.70851851851852,1994,Kevin Smith
25000000.0,1909,22200000.0,Don Juan DeMarco,0.888,1994,Jeremy Leven
55000000.0,8984,214015089.0,Disclosure,3.891183436363636,1994,Barry Levinson
0.0,61813,0.0,Dream Man,0.0,1995,René Bonnière
45000000.0,4954,0.0,Drop Zone,0.0,1994,John Badham
0.0,62488,0.0,Destiny Turns on the Radio,0.0,1995,Jack Baran
0.0,10531,0.0,Death and the Maiden,0.0,1994,Roman Polanski
0.0,11929,0.0,Dolores Claiborne,0.0,1995,Taylor Hackford
16000000.0,8467,247275374.0,Dumb and Dumber,15.454710875,1994,Peter Farrelly
0.0,10451,7294403.0,Eat Drink Man Woman,inf,1994,Ang Lee
0.0,20156,0.0,Exotica,0.0,1994,Atom Egoyan
0.0,18395,6841570.0,Exit to Eden,inf,1994,Garry Marshall
18000000.0,522,5887457.0,Ed Wood,0.3270809444444444,1994,Tim Burton
0.0,397,0.0,French Kiss,0.0,1995,Lawrence Kasdan
0.0,10525,0.0,Forget Paris,0.0,1995,Billy Crystal
0.0,27985,0.0,Far from Home: The Adventures of Yellow Dog,0.0,1995,Phillip Borsos
0.0,15789,35348597.0,A Goofy Movie,inf,1995,Kevin Lima
15000000.0,27303,12201255.0,Hideaway,0.813417,1995,Brett Leonard
0.0,21183,0.0,Fluke,0.0,1995,Carlo Carlei
0.0,10954,0.0,Farinelli,0.0,1994,Gérard Corbiau
0.0,47867,3992809.0,Gordy,inf,1995,Mark Lewis
0.0,43475,0.0,Gumby: The Movie,0.0,1995,Art Clokey
0.0,72031,0.0,The Glass Shield,0.0,1994,Charles Burnett
700000.0,14275,7830611.0,Hoop Dreams,11.186587142857142,1994,Steve James
5000000.0,1024,3049135.0,Heavenly Creatures,0.609827,1994,Peter Jackson
10500000.0,17207,26325256.0,Houseguest,2.507167238095238,1995,Randall Miller
120.0,13701,0.0,Immortal Beloved,0.0,1994,Bernard Rose
0.0,14819,17689177.0,Heavyweights,inf,1995,Steven Brill
0.0,32631,0.0,The Hunted,0.0,1995,J. F. Lawton
25000000.0,11777,0.0,I.Q.,0.0,1994,Fred Schepisi
60000000.0,628,223664608.0,Interview with the Vampire,3.7277434666666656,1994,Neil Jordan
14000000.0,87729,2474000.0,Jefferson in Paris,0.1767142857142857,1995,James Ivory
0.0,18713,0.0,The Jerky Boys,0.0,1995,James Melkonian
60000000.0,6280,37000000.0,Junior,0.6166666666666667,1994,Ivan Reitman
0.0,9061,0.0,Just Cause,0.0,1995,Arne Glimcher
0.0,37108,0.0,A Kid in King Arthur's Court,0.0,1995,Michael Gottlieb
40000000.0,6071,0.0,Kiss of Death,0.0,1995,Barbet Schroeder
11000000.0,11,775398007.0,Star Wars,70.49072790909091,1977,George Lucas
18000000.0,9587,0.0,Little Women,0.0,1994,Gillian Armstrong
17000000.0,19101,0.0,A Little Princess,0.0,1995,Alfonso Cuarón
0.0,49980,0.0,Ladybird Ladybird,0.0,1994,Ken Loach
10000000.0,17961,0.0,L'Enfer,0.0,1994,Claude Chabrol
2000000.0,18183,21665468.0,Like Water for Chocolate,10.832734,1992,Alfonso Aráu
30000000.0,4476,160638883.0,Legends of the Fall,5.354629433333334,1994,Edward Zwick
0.0,11008,0.0,Major Payne,0.0,1995,Nick Castle
0.0,47504,0.0,Little Odessa,0.0,1994,James Gray
0.0,32325,0.0,Mi Vida Loca,0.0,1994,Allison Anders
60000000.0,43742,0.0,Love Affair,0.0,1994,Glenn Gordon Caron
17000000.0,28313,7603766.0,Losing Isaiah,0.4472803529411764,1995,Stephen Gyllenhaal
0.0,11318,0.0,The Madness of King George,0.0,1994,Nicholas Hytner
45000000.0,3036,112006296.0,Mary Shelley's Frankenstein,2.4890288,1994,Kenneth Branagh
0.0,40490,0.0,Man of the House,0.0,1995,James Orr
15000000.0,24070,0.0,Mixed Nuts,0.0,1994,Nora Ephron
0.0,8986,18137661.0,Milk Money,inf,1994,Richard Benjamin
0.0,10510,46264384.0,Miracle on 34th Street,inf,1994,Les Mayfield
6.0,17402,5.0,Miami Rhapsody,0.8333333333333334,1995,David Frankel
5500000.0,38722,0.0,My Family,0.0,1995,Gregory Nava
0.0,8438,17381942.0,Murder in the First,inf,1995,Marc Rocco
0.0,11593,0.0,Nobody's Fool,0.0,1994,Robert Benton
31000000.0,1945,106683817.0,Nell,3.441413451612904,1994,Michael Apted
0.0,39310,0.0,New Jersey Drive,0.0,1995,Nick Gomez
0.0,109560,0.0,New York Cop,0.0,1993,Tōru Murakawa
4800000.0,56428,0.0,Beyond Bedlam,0.0,1994,Vadim Jean
0.0,63105,0.0,Nemesis 2 - Nebula,0.0,1995,Albert Pyun
0.0,131957,0.0,Nina Takes a Lover,0.0,1995,Alan Jacobs
34000000.0,241,50282766.0,Natural Born Killers,1.4789048823529412,1994,Oliver Stone
0.0,9058,0.0,Only You,0.0,1994,Norman Jewison
0.0,527,2201126.0,Once Were Warriors,inf,1994,Lee Tamahori
0.0,18220,0.0,Poison Ivy II: Lily,0.0,1996,Anne Goursaud
50000000.0,6950,189859560.0,Outbreak,3.7971912,1995,Wolfgang Petersen
16000000.0,101,45284974.0,Leon: The Professional,2.830310875,1994,Luc Besson
11000000.0,63020,2832826.0,The Perez Family,0.2575296363636363,1995,Mira Nair
0.0,2307,0.0,A Pyromaniac's Love Story,0.0,1995,Joshua Brand
8000000.0,680,213928762.0,Pulp Fiction,26.74109525,1994,Quentin Tarantino
0.0,41478,6834525.0,Panther,inf,1995,Mario Van Peebles
400000.0,25296,152322.0,Pushing Hands,0.380805,1992,Ang Lee
0.0,40156,4176932.0,Priest,inf,1994,Antonia Bird
0.0,11450,0.0,Quiz Show,0.0,1994,Robert Redford
0.0,30304,0.0,Picture Bride,0.0,1995,Kayo Hatta
0.0,10452,0.0,Queen Margot,0.0,1994,Patrice Chéreau
32000000.0,12106,18552460.0,The Quick and the Dead,0.579764375,1995,Sam Raimi
22000000.0,161495,12400000.0,Roommates,0.5636363636363636,1995,Peter Yates
15000000.0,3586,11300653.0,Prêt-à-Porter,0.7533768666666667,1994,Robert Altman
0.0,110,0.0,Three Colors: Red,0.0,1994,Krzysztof Kieślowski
0.0,108,0.0,Three Colors: Blue,0.0,1993,Krzysztof Kieślowski
0.0,109,0.0,Three Colors: White,0.0,1994,Krzysztof Kieślowski
0.0,159185,0.0,"Red Firecracker, Green Firecracker",0.0,1994,He Ping
0.0,36357,0.0,Rent-a-Kid,0.0,1995,Fred Gerber
0.0,92769,0.0,Relative Fear,0.0,1995,George Mihalka
0.0,28033,0.0,Stuart Saves His Family,0.0,1995,Harold Ramis
35000000.0,22586,9771658.0,The Swan Princess,0.2791902285714285,1994,Richard Rich
0.0,14334,0.0,The Secret of Roan Inish,0.0,1994,John Sayles
45000000.0,2636,170362582.0,The Specialist,3.785835155555556,1994,Luis Llosa
55000000.0,2164,196567262.0,Stargate,3.5739502181818184,1994,Roland Emmerich
22000000.0,11395,189833357.0,The Santa Clause,8.628788954545454,1994,John Pasquin
25000000.0,278,28341469.0,The Shawshank Redemption,1.13365876,1994,Frank Darabont
0.0,9905,0.0,Shallow Grave,0.0,1994,Danny Boyle
0.0,87078,102780.0,Suture,inf,1993,Scott McGehee
0.0,12527,0.0,Strawberry and Chocolate,0.0,1993,Tomás Gutiérrez Alea
0.0,20306,0.0,Swimming with Sharks,0.0,1994,George Huang
32.0,36614,0.0,The Sum of Us,0.0,1994,Kevin Dowling
0.0,27993,0.0,Senior Trip,0.0,1995,Kelly Makin
0.0,31439,0.0,To Live,0.0,1994,Zhang Yimou
25000000.0,9067,4064495.0,Tank Girl,0.1625798,1995,Rachel Talalay
0.0,9059,0.0,Tales from the Crypt: Demon Knight,0.0,1995,Ernest R. Dickerson
38000000.0,193,120000000.0,Star Trek: Generations,3.1578947368421053,1994,David Carson
6000000.0,25066,12000000.0,Tales from the Hood,2.0,1995,Rusty Cundieff
0.0,46797,0.0,Tom & Viv,0.0,1994,Brian Gilbert
0.0,12122,0.0,Village of the Damned,0.0,1995,John Carpenter
0.0,11381,32648673.0,Tommy Boy,inf,1995,Peter Segal
0.0,32636,0.0,Vanya on 42nd Street,0.0,1994,Louis Malle
6500000.0,36141,0.0,The Underneath,0.0,1995,Steven Soderbergh
0.0,95963,0.0,The Walking Dead,0.0,1995,Preston A. Whitmore II
11000000.0,1587,10032765.0,What's Eating Gilbert Grape,0.9120695454545454,1993,Lasse Hallström
30000000.0,9271,24048000.0,Virtuosity,0.8016,1995,Brett Leonard
17000000.0,2064,182057016.0,While You Were Sleeping,10.709236235294116,1995,Jon Turteltaub
0.0,19855,0.0,The War,0.0,1994,Jon Avnet
0.0,60855,759393.0,Double Happiness,inf,1994,Mina Shum
3000000.0,236,15119639.0,Muriel's Wedding,5.039879666666667,1994,P.J. Hogan
0.0,48287,0.0,The Baby-Sitters Club,0.0,1995,Melanie Mayron
15000000.0,3049,107217396.0,Ace Ventura: Pet Detective,7.1478264,1994,Tom Shadyac
0.0,2759,11220670.0,"The Adventures of Priscilla, Queen of the Desert",inf,1994,Stephan Elliott
0.0,12635,0.0,Backbeat,0.0,1994,Iain Softley
5000000.0,10497,1862805.0,Bitter Moon,0.372561,1992,Roman Polanski
0.0,11382,0.0,Bullets Over Broadway,0.0,1994,Woody Allen
62000000.0,9331,215887717.0,Clear and Present Danger,3.482059951612903,1994,Phillip Noyce
45000000.0,10731,117615211.0,The Client,2.613671355555556,1994,Joel Schumacher
0.0,10464,0.0,"Corrina, Corrina",0.0,1994,Jessie Nelson
0.0,34152,0.0,Crooklyn,0.0,1994,Spike Lee
15000000.0,9495,94000000.0,The Crow,6.266666666666667,1994,Alex Proyas
0.0,29973,1007583.0,Cobb,inf,1994,Ron Shelton
46000000.0,888,341631208.0,The Flintstones,7.426765391304348,1994,Brian Levant
55000000.0,13,677945399.0,Forrest Gump,12.326279981818182,1994,Robert Zemeckis
6000000.0,712,254700832.0,Four Weddings and a Funeral,42.45013866666667,1994,Mike Newell
0.0,16295,38290723.0,Higher Learning,inf,1995,John Singleton
0.0,48992,1777020.0,I Like It Like That,inf,1994,Darnell Martin
45000000.0,10879,61947267.0,I Love Trouble,1.3766059333333334,1994,Charles Shyer
0.0,10660,0.0,It Could Happen to You,0.0,1994,Andrew Bergman
0.0,10714,0.0,The Jungle Book,0.0,1994,Stephen Sommers
0.0,41647,449707.0,"The Wonderful, Horrible Life of Leni Riefenstahl",inf,1993,Ray Müller
45000000.0,8587,788241776.0,The Lion King,17.516483911111113,1994,Roger Allers
35000000.0,1689,4858139.0,Little Buddha,0.1388039714285714,1993,Bernardo Bertolucci
14000000.0,11596,18090181.0,New Nightmare,1.2921557857142858,1994,Wes Craven
23000000.0,854,351583407.0,The Mask,15.286235086956522,1994,Chuck Russell
0.0,9359,0.0,Maverick,0.0,1994,Richard Donner
0.0,23333,0.0,Mrs. Parker and the Vicious Circle,0.0,1994,Alan Rudolph
30000000.0,36593,51132598.0,The Naked Gun 33⅓: The Final Insult,1.7044199333333334,1994,Peter Segal
6000000.0,12280,0.0,The Paper,0.0,1994,Ron Howard
11500000.0,2788,20079850.0,Reality Bites,1.7460739130434784,1994,Ben Stiller
8000000.0,10427,2000000.0,Red Rock West,0.25,1993,John Dahl
