id,spoken_languages,title
902,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'fr', 'name': 'Français'}]",The City of Lost Children
37557,"[{'iso_639_1': 'zh', 'name': '普通话'}]",Shanghai Triad
9909,"[{'iso_639_1': 'en', 'name': 'English'}]",Dangerous Minds
63,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Twelve Monkeys
78802,"[{'iso_639_1': 'en', 'name': 'English'}]",Wings of Courage
9598,"[{'iso_639_1': 'en', 'name': 'English'}]",Babe
47018,"[{'iso_639_1': 'en', 'name': 'English'}]",Carrington
687,"[{'iso_639_1': 'en', 'name': 'English'}]",Dead Man Walking
139405,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]",Across the Sea of Time
33689,"[{'iso_639_1': 'en', 'name': 'English'}]",It Takes Two
9603,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Clueless
34615,"[{'iso_639_1': 'en', 'name': 'English'}]","Cry, the Beloved Country"
31174,"[{'iso_639_1': 'en', 'name': 'English'}]",Richard III
11443,"[{'iso_639_1': 'en', 'name': 'English'}]",Dead Presidents
35196,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Restoration
9312,"[{'iso_639_1': 'en', 'name': 'English'}]",Mortal Kombat
577,"[{'iso_639_1': 'en', 'name': 'English'}]",To Die For
11861,"[{'iso_639_1': 'en', 'name': 'English'}]",How To Make An American Quilt
807,"[{'iso_639_1': 'en', 'name': 'English'}]",Se7en
10530,"[{'iso_639_1': 'en', 'name': 'English'}]",Pocahontas
8391,"[{'iso_639_1': 'en', 'name': 'English'}]",When Night Is Falling
629,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",The Usual Suspects
117164,[],Guardian Angel
11448,"[{'iso_639_1': 'en', 'name': 'English'}]",Mighty Aphrodite
49133,"[{'iso_639_1': 'sq', 'name': 'shqip'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Lamerica
26441,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",The Big Green
97406,"[{'iso_639_1': 'en', 'name': 'English'}]",Georgia
124057,"[{'iso_639_1': 'en', 'name': 'English'}]",Kids of the Round Table
9089,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Home for the Holidays
11010,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'es', 'name': 'Español'}]",The Postman
99040,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",The Confessional
11359,"[{'iso_639_1': 'en', 'name': 'English'}]",The Indian in the Cupboard
17182,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'iso_639_1': 'es', 'name': 'Español'}]",Eye for an Eye
2054,"[{'iso_639_1': 'en', 'name': 'English'}]",Mr. Holland's Opus
10607,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Don't Be a Menace to South Central While Drinking Your Juice in the Hood
19760,"[{'iso_639_1': 'en', 'name': 'English'}]",Two If by Sea
9536,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Bio-Dome
11525,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Lawnmower Man 2: Beyond Cyberspace
40628,"[{'iso_639_1': 'en', 'name': 'English'}]",Two Bits
4482,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]",French Twist
10634,"[{'iso_639_1': 'en', 'name': 'English'}]",Friday
755,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",From Dusk Till Dawn
11859,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Fair Game
28387,"[{'iso_639_1': 'en', 'name': 'English'}]",Kicking and Screaming
48750,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Les Miserables
20927,"[{'iso_639_1': 'en', 'name': 'English'}]",Bed of Roses
36929,"[{'iso_639_1': 'en', 'name': 'English'}]",Big Bully
9102,"[{'iso_639_1': 'en', 'name': 'English'}]",Screamers
124626,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]",Nico Icon
27526,"[{'iso_639_1': 'en', 'name': 'English'}]",The Crossing Guard
9623,"[{'iso_639_1': 'en', 'name': 'English'}]",The Juror
46785,"[{'iso_639_1': 'fa', 'name': 'فارسی'}]",The White Balloon
400,"[{'iso_639_1': 'en', 'name': 'English'}]",Things to Do in Denver When You're Dead
880,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}]",Antonia's Line
146599,"[{'iso_639_1': 'en', 'name': 'English'}]",Once Upon a Time... When We Were Colored
188588,[],Last Summer in the Hamptons
8447,"[{'iso_639_1': 'en', 'name': 'English'}]",Angels and Insects
10534,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",White Squall
17414,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Dunston Checks In
13997,"[{'iso_639_1': 'en', 'name': 'English'}]",Black Sheep
2086,"[{'iso_639_1': 'en', 'name': 'English'}]",Nick of Time
61548,"[{'iso_639_1': 'en', 'name': 'English'}]",The Journey of August King
9095,"[{'iso_639_1': 'en', 'name': 'English'}]",Mary Reilly
12158,"[{'iso_639_1': 'en', 'name': 'English'}]",Vampire in Brooklyn
9283,"[{'iso_639_1': 'en', 'name': 'English'}]",Beautiful Girls
9208,"[{'iso_639_1': 'en', 'name': 'English'}]",Broken Arrow
40154,"[{'iso_639_1': 'en', 'name': 'English'}]",A Midwinter's Tale
406,"[{'iso_639_1': 'fr', 'name': 'Français'}]",La Haine
45549,"[{'iso_639_1': 'en', 'name': 'English'}]",Shopping
63076,"[{'iso_639_1': 'en', 'name': 'English'}]",Heidi Fleiss: Hollywood Madam
11062,"[{'iso_639_1': 'en', 'name': 'English'}]",City Hall
13685,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Bottle Rocket
47475,"[{'iso_639_1': 'en', 'name': 'English'}]",Mr. Wrong
2045,"[{'iso_639_1': 'en', 'name': 'English'}]",Unforgettable
9614,"[{'iso_639_1': 'en', 'name': 'English'}]",Happy Gilmore
688,"[{'iso_639_1': 'en', 'name': 'English'}]",The Bridges of Madison County
11907,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Nobody Loves Me
10874,"[{'iso_639_1': 'en', 'name': 'English'}]",Muppet Treasure Island
89333,"[{'iso_639_1': 'en', 'name': 'English'}]",Catwalk
96357,[],Headless Body in Topless Bar
197,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'gd', 'name': ''}]",Braveheart
103,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Taxi Driver
33542,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]",Rumble in the Bronx
43566,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Before and After
71754,"[{'iso_639_1': 'en', 'name': 'English'}]",Margaret's Museum
43612,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Happiness Is in the Field
51352,"[{'iso_639_1': 'en', 'name': 'English'}]",Anne Frank Remembered
16934,"[{'iso_639_1': 'en', 'name': 'English'}]",The Young Poisoner's Handbook
10324,"[{'iso_639_1': 'en', 'name': 'English'}]",If Lucy Fell
78406,"[{'iso_639_1': 'en', 'name': 'English'}]",Steal Big Steal Little
55731,"[{'iso_639_1': 'en', 'name': 'English'}]",Race the Sun
32119,"[{'iso_639_1': 'en', 'name': 'English'}]",The Boys of St. Vincent
11066,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Boomerang
11104,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Chungking Express
37975,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",The Star Maker
2074,"[{'iso_639_1': 'en', 'name': 'English'}]",Flirting with Disaster
27793,"[{'iso_639_1': 'en', 'name': 'English'}]",The Neverending Story III: Escape from Fantasia
44284,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'fr', 'name': 'Français'}]",The Silences of the Palace
290157,[],Jupiter's Wife
110972,"[{'iso_639_1': 'en', 'name': 'English'}]",Pie in the Sky
32622,"[{'iso_639_1': 'en', 'name': 'English'}]",Angela
73067,"[{'iso_639_1': 'en', 'name': 'English'}]",Frankie Starlight
11863,"[{'iso_639_1': 'en', 'name': 'English'}]",Jade
55475,"[{'iso_639_1': 'es', 'name': 'Español'}]",Nueba Yol
124636,"[{'iso_639_1': 'en', 'name': 'English'}]",Sonic Outlaws
9101,"[{'iso_639_1': 'en', 'name': 'English'}]",Down Periscope
123360,"[{'iso_639_1': 'en', 'name': 'English'}]",From the Journals of Jean Seberg
5757,"[{'iso_639_1': 'en', 'name': 'English'}]",Man of the Year
39428,"[{'iso_639_1': 'en', 'name': 'English'}]",The Neon Bible
124639,[],Target
9302,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Up Close & Personal
11000,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",The Birdcage
249882,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hr', 'name': 'Hrvatski'}, {'iso_639_1': 'bs', 'name': 'Bosanski'}]",Virgin Mary
16388,"[{'iso_639_1': 'en', 'name': 'English'}]",The Brothers McMullen
9737,"[{'iso_639_1': 'en', 'name': 'English'}]",Bad Boys
30765,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",The Amazing Panda Adventure
10474,"[{'iso_639_1': 'en', 'name': 'English'}]",The Basketball Diaries
22279,"[{'iso_639_1': 'en', 'name': 'English'}]",An Awfully Big Adventure
30157,"[{'iso_639_1': 'en', 'name': 'English'}]",Amateur
568,"[{'iso_639_1': 'en', 'name': 'English'}]",Apollo 13
11780,"[{'iso_639_1': 'en', 'name': 'English'}]",Rob Roy
34996,"[{'iso_639_1': 'en', 'name': 'English'}]",The Addiction
414,"[{'iso_639_1': 'en', 'name': 'English'}]",Batman Forever
649,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'mn', 'name': ''}, {'iso_639_1': 'es', 'name': 'Español'}]",Belle de Jour
1873,"[{'iso_639_1': 'en', 'name': 'English'}]",Beyond Rangoon
5894,"[{'iso_639_1': 'en', 'name': 'English'}]",Blue in the Face
1775,"[{'iso_639_1': 'en', 'name': 'English'}]",Canadian Bacon
8839,"[{'iso_639_1': 'en', 'name': 'English'}]",Casper
20649,"[{'iso_639_1': 'en', 'name': 'English'}]",Clockers
10329,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Congo
8963,"[{'iso_639_1': 'en', 'name': 'English'}]",Crimson Tide
26564,"[{'iso_639_1': 'en', 'name': 'English'}]",Crumb
8068,"[{'iso_639_1': 'en', 'name': 'English'}]",Desperado
8512,"[{'iso_639_1': 'en', 'name': 'English'}]",Devil in a Blue Dress
1572,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ro', 'name': 'Română'}]",Die Hard: With a Vengeance
13552,"[{'iso_639_1': 'en', 'name': 'English'}]",The Doom Generation
259209,"[{'iso_639_1': 'en', 'name': 'English'}]",Feast of July
6520,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",First Knight
9073,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'id', 'name': 'Bahasa indonesia'}, {'iso_639_1': 'ms', 'name': 'Bahasa melayu'}]",Free Willy 2 - The Adventure Home
10428,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Hackers
17447,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Jeffrey
9886,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]",Johnny Mnemonic
9482,"[{'iso_639_1': 'en', 'name': 'English'}]",Judge Dredd
19326,"[{'iso_639_1': 'en', 'name': 'English'}]",Jury Duty
9344,"[{'iso_639_1': 'en', 'name': 'English'}]",Kids
9071,"[{'iso_639_1': 'en', 'name': 'English'}]",Living in Oblivion
8973,"[{'iso_639_1': 'en', 'name': 'English'}]",Lord of Illusions
15730,"[{'iso_639_1': 'en', 'name': 'English'}]",Love & Human Remains
47608,"[{'iso_639_1': 'en', 'name': 'English'}]",Mad Love
2293,"[{'iso_639_1': 'en', 'name': 'English'}]",Mallrats
9070,"[{'iso_639_1': 'en', 'name': 'English'}]",Mighty Morphin Power Rangers: The Movie
68274,"[{'iso_639_1': 'en', 'name': 'English'}]",Moonlight and Valentino
48787,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]",Mute Witness
34574,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]",Nadja
1642,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",The Net
11472,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Nine Months
36196,"[{'iso_639_1': 'en', 'name': 'English'}]",Party Girl
11980,"[{'iso_639_1': 'en', 'name': 'English'}]",The Prophecy
58372,"[{'iso_639_1': 'en', 'name': 'English'}]",Reckless
32646,"[{'iso_639_1': 'en', 'name': 'English'}]",Safe
10533,"[{'iso_639_1': 'en', 'name': 'English'}]",The Scarlet Letter
56088,[],The Show
10802,"[{'iso_639_1': 'en', 'name': 'English'}]",Showgirls
10149,"[{'iso_639_1': 'en', 'name': 'English'}]",Smoke
18402,"[{'iso_639_1': 'en', 'name': 'English'}]",Something to Talk About
9348,"[{'iso_639_1': 'en', 'name': 'English'}]",Species
139408,"[{'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'en', 'name': 'English'}]",The Stars Fell on Henrietta
281,"[{'iso_639_1': 'en', 'name': 'English'}]",Strange Days
5967,"[{'iso_639_1': 'fr', 'name': 'Français'}]",The Umbrellas of Cherbourg
79593,"[{'iso_639_1': 'en', 'name': 'English'}]",The Tie That Binds
47939,"[{'iso_639_1': 'en', 'name': 'English'}]",Three Wishes
36834,"[{'iso_639_1': 'en', 'name': 'English'}]",Total Eclipse
9090,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]","To Wong Foo, Thanks for Everything! Julie Newmar"
3512,"[{'iso_639_1': 'en', 'name': 'English'}]",Under Siege 2: Dark Territory
52856,"[{'iso_639_1': 'en', 'name': 'English'}]",Unstrung Heroes
77350,"[{'iso_639_1': 'en', 'name': 'English'}]",Unzipped
9560,"[{'iso_639_1': 'en', 'name': 'English'}]",A Walk in the Clouds
9804,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'es', 'name': 'Español'}]",Waterworld
31611,"[{'iso_639_1': 'en', 'name': 'English'}]",White Man's Burden
65796,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]",Wild Bill
49805,"[{'iso_639_1': 'en', 'name': 'English'}]",The Browning Version
26258,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Bushwhacked
50797,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Burnt by the Sun
19155,"[{'iso_639_1': 'sq', 'name': 'shqip'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'mk', 'name': ''}]",Before the Rain
76,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Before Sunrise
11017,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Billy Madison
37141,"[{'iso_639_1': 'en', 'name': 'English'}]",The Babysitter
9382,"[{'iso_639_1': 'en', 'name': 'English'}]",Boys on the Side
6715,"[{'iso_639_1': 'en', 'name': 'English'}]",The Cure
18256,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'sv', 'name': 'svenska'}]",Castle Freak
22625,"[{'iso_639_1': 'en', 'name': 'English'}]",Circle of Friends
2292,"[{'iso_639_1': 'en', 'name': 'English'}]",Clerks
1909,"[{'iso_639_1': 'en', 'name': 'English'}]",Don Juan DeMarco
8984,"[{'iso_639_1': 'en', 'name': 'English'}]",Disclosure
61813,"[{'iso_639_1': 'en', 'name': 'English'}]",Dream Man
4954,"[{'iso_639_1': 'en', 'name': 'English'}]",Drop Zone
62488,"[{'iso_639_1': 'en', 'name': 'English'}]",Destiny Turns on the Radio
10531,"[{'iso_639_1': 'en', 'name': 'English'}]",Death and the Maiden
11929,"[{'iso_639_1': 'en', 'name': 'English'}]",Dolores Claiborne
8467,"[{'iso_639_1': 'en', 'name': 'English'}]",Dumb and Dumber
10451,"[{'iso_639_1': 'zh', 'name': '普通话'}]",Eat Drink Man Woman
20156,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}]",Exotica
18395,"[{'iso_639_1': 'en', 'name': 'English'}]",Exit to Eden
522,"[{'iso_639_1': 'en', 'name': 'English'}]",Ed Wood
397,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",French Kiss
10525,"[{'iso_639_1': 'en', 'name': 'English'}]",Forget Paris
27985,"[{'iso_639_1': 'en', 'name': 'English'}]",Far from Home: The Adventures of Yellow Dog
15789,"[{'iso_639_1': 'en', 'name': 'English'}]",A Goofy Movie
27303,"[{'iso_639_1': 'en', 'name': 'English'}]",Hideaway
21183,"[{'iso_639_1': 'en', 'name': 'English'}]",Fluke
10954,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Farinelli
47867,"[{'iso_639_1': 'en', 'name': 'English'}]",Gordy
43475,"[{'iso_639_1': 'en', 'name': 'English'}]",Gumby: The Movie
72031,"[{'iso_639_1': 'en', 'name': 'English'}]",The Glass Shield
14275,"[{'iso_639_1': 'en', 'name': 'English'}]",Hoop Dreams
1024,"[{'iso_639_1': 'en', 'name': 'English'}]",Heavenly Creatures
17207,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Houseguest
13701,"[{'iso_639_1': 'en', 'name': 'English'}]",Immortal Beloved
14819,"[{'iso_639_1': 'en', 'name': 'English'}]",Heavyweights
32631,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",The Hunted
11777,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",I.Q.
628,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Interview with the Vampire
87729,"[{'iso_639_1': 'en', 'name': 'English'}]",Jefferson in Paris
18713,"[{'iso_639_1': 'en', 'name': 'English'}]",The Jerky Boys
6280,"[{'iso_639_1': 'en', 'name': 'English'}]",Junior
9061,"[{'iso_639_1': 'en', 'name': 'English'}]",Just Cause
37108,"[{'iso_639_1': 'en', 'name': 'English'}]",A Kid in King Arthur's Court
6071,"[{'iso_639_1': 'en', 'name': 'English'}]",Kiss of Death
11,"[{'iso_639_1': 'en', 'name': 'English'}]",Star Wars
9587,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Little Women
19101,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",A Little Princess
49980,"[{'iso_639_1': 'en', 'name': 'English'}]",Ladybird Ladybird
17961,"[{'iso_639_1': 'fr', 'name': 'Français'}]",L'Enfer
18183,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Like Water for Chocolate
4476,"[{'iso_639_1': 'kw', 'name': ''}, {'iso_639_1': 'en', 'name': 'English'}]",Legends of the Fall
11008,"[{'iso_639_1': 'en', 'name': 'English'}]",Major Payne
47504,"[{'iso_639_1': 'en', 'name': 'English'}]",Little Odessa
32325,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Mi Vida Loca
43742,"[{'iso_639_1': 'en', 'name': 'English'}]",Love Affair
28313,"[{'iso_639_1': 'en', 'name': 'English'}]",Losing Isaiah
11318,"[{'iso_639_1': 'en', 'name': 'English'}]",The Madness of King George
3036,"[{'iso_639_1': 'en', 'name': 'English'}]",Mary Shelley's Frankenstein
40490,"[{'iso_639_1': 'en', 'name': 'English'}]",Man of the House
24070,"[{'iso_639_1': 'en', 'name': 'English'}]",Mixed Nuts
8986,"[{'iso_639_1': 'en', 'name': 'English'}]",Milk Money
10510,"[{'iso_639_1': 'en', 'name': 'English'}]",Miracle on 34th Street
17402,"[{'iso_639_1': 'en', 'name': 'English'}]",Miami Rhapsody
38722,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",My Family
8438,"[{'iso_639_1': 'en', 'name': 'English'}]",Murder in the First
11593,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Nobody's Fool
1945,"[{'iso_639_1': 'en', 'name': 'English'}]",Nell
39310,"[{'iso_639_1': 'en', 'name': 'English'}]",New Jersey Drive
109560,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",New York Cop
56428,"[{'iso_639_1': 'en', 'name': 'English'}]",Beyond Bedlam
63105,"[{'iso_639_1': 'en', 'name': 'English'}]",Nemesis 2 - Nebula
131957,"[{'iso_639_1': 'en', 'name': 'English'}]",Nina Takes a Lover
241,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'nv', 'name': ''}, {'iso_639_1': 'ja', 'name': '日本語'}]",Natural Born Killers
9058,"[{'iso_639_1': 'en', 'name': 'English'}]",Only You
527,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'mi', 'name': ''}]",Once Were Warriors
18220,"[{'iso_639_1': 'en', 'name': 'English'}]",Poison Ivy II: Lily
6950,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Outbreak
101,"[{'iso_639_1': 'en', 'name': 'English'}]",Leon: The Professional
63020,"[{'iso_639_1': 'en', 'name': 'English'}]",The Perez Family
2307,"[{'iso_639_1': 'en', 'name': 'English'}]",A Pyromaniac's Love Story
680,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Pulp Fiction
41478,"[{'iso_639_1': 'en', 'name': 'English'}]",Panther
25296,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Pushing Hands
40156,"[{'iso_639_1': 'en', 'name': 'English'}]",Priest
11450,"[{'iso_639_1': 'en', 'name': 'English'}]",Quiz Show
30304,"[{'iso_639_1': 'tl', 'name': ''}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]",Picture Bride
10452,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Queen Margot
