budget,id,revenue,title,belongs_to_collection_name
1300000.0,103,28262574.0,Taxi Driver,
7500000.0,33542,32392047.0,Rumble in the Bronx,
35000000.0,43566,0.0,Before and After,
0.0,71754,0.0,Margaret's Museum,
13365000.0,43612,0.0,Happiness Is in the Field,
0.0,51352,1.0,Anne Frank Remembered,
0.0,16934,0.0,The Young Poisoner's Handbook,
0.0,10324,0.0,If Lucy Fell,
25000000.0,78406,6278139.0,Steal Big Steal Little,
0.0,55731,0.0,Race the Sun,
0.0,32119,0.0,The Boys of St. Vincent,
40000000.0,11066,70100000.0,Boomerang,
0.0,11104,0.0,Chungking Express,
0.0,37975,0.0,The Star Maker,
7000000.0,2074,14702438.0,Flirting with Disaster,
17000000.0,27793,0.0,The Neverending Story III: Escape from Fantasia,The Neverending Story Collection
0.0,44284,0.0,The Silences of the Palace,
0.0,290157,0.0,Jupiter's Wife,
0.0,110972,0.0,Pie in the Sky,
0.0,32622,0.0,Angela,
0.0,73067,0.0,Frankie Starlight,
50000000.0,11863,9851610.0,Jade,
0.0,55475,0.0,Nueba Yol,
0.0,124636,0.0,Sonic Outlaws,
0.0,9101,0.0,Down Periscope,
0.0,123360,0.0,From the Journals of Jean Seberg,
0.0,5757,209935.0,Man of the Year,
0.0,39428,0.0,The Neon Bible,
0.0,124639,0.0,Target,
60000000.0,9302,0.0,Up Close & Personal,
31000000.0,11000,185260553.0,The Birdcage,
0.0,249882,0.0,Virgin Mary,
0.0,16388,0.0,The Brothers McMullen,
19000000.0,9737,141407024.0,Bad Boys,Bad Boys Collection
0.0,30765,0.0,The Amazing Panda Adventure,
0.0,10474,0.0,The Basketball Diaries,
4000000.0,22279,851545.0,An Awfully Big Adventure,
0.0,30157,0.0,Amateur,
52000000.0,568,355237933.0,Apollo 13,
28000000.0,11780,31596911.0,Rob Roy,
0.0,34996,0.0,The Addiction,
100000000.0,414,336529144.0,Batman Forever,Batman Collection
0.0,649,0.0,Belle de Jour,
0.0,1873,0.0,Beyond Rangoon,
2000000.0,5894,1275000.0,Blue in the Face,Brooklyn Cigar Store Collection
11000000.0,1775,178104.0,Canadian Bacon,
50000000.0,8839,287928194.0,Casper,
25000000.0,20649,13071518.0,Clockers,
50000000.0,10329,152022101.0,Congo,
53000000.0,8963,157387195.0,Crimson Tide,
0.0,26564,3174695.0,Crumb,
7000000.0,8068,25405445.0,Desperado,Mexico Trilogy
27000000.0,8512,16140822.0,Devil in a Blue Dress,
90000000.0,1572,366101666.0,Die Hard: With a Vengeance,Die Hard Collection
0.0,13552,0.0,The Doom Generation,Teenage Apocalypse Trilogy
0.0,259209,0.0,Feast of July,
55000000.0,6520,127600435.0,First Knight,
0.0,9073,0.0,Free Willy 2 - The Adventure Home,Free Willy Collection
20000000.0,10428,7563728.0,Hackers,
0.0,17447,0.0,Jeffrey,
25000000.0,9886,19075720.0,Johnny Mnemonic,
90000000.0,9482,113493481.0,Judge Dredd,
0.0,19326,17014653.0,Jury Duty,
1500000.0,9344,7412216.0,Kids,
500000.0,9071,1148752.0,Living in Oblivion,
0.0,8973,0.0,Lord of Illusions,
0.0,15730,0.0,Love & Human Remains,
0.0,47608,15453274.0,Mad Love,
6000000.0,2293,2122561.0,Mallrats,
15000000.0,9070,66000000.0,Mighty Morphin Power Rangers: The Movie,Power Rangers Collection
0.0,68274,0.0,Moonlight and Valentino,
2.0,48787,1.0,Mute Witness,
0.0,34574,0.0,Nadja,
22000000.0,1642,110627965.0,The Net,Síť (kolekce)
0.0,11472,69660733.0,Nine Months,
150000.0,36196,472370.0,Party Girl,
8.0,11980,16.0,The Prophecy,
0.0,58372,0.0,Reckless,
0.0,32646,0.0,Safe,
50000000.0,10533,10382407.0,The Scarlet Letter,
0.0,56088,0.0,The Show,
45000000.0,10802,20350754.0,Showgirls,Showgirls Collection
7000000.0,10149,8349430.0,Smoke,Brooklyn Cigar Store Collection
0.0,18402,50892160.0,Something to Talk About,
35000000.0,9348,113374103.0,Species,Species Collection
0.0,139408,0.0,The Stars Fell on Henrietta,
42000000.0,281,7959291.0,Strange Days,
0.0,5967,0.0,The Umbrellas of Cherbourg,
14000000.0,79593,5780000.0,The Tie That Binds,
0.0,47939,7025496.0,Three Wishes,
0.0,36834,339889.0,Total Eclipse,
0.0,9090,47774193.0,"To Wong Foo, Thanks for Everything! Julie Newmar",
60000000.0,3512,104324083.0,Under Siege 2: Dark Territory,Under Siege Collection
0.0,52856,0.0,Unstrung Heroes,
0.0,77350,0.0,Unzipped,
20000000.0,9560,50012507.0,A Walk in the Clouds,
175000000.0,9804,264218220.0,Waterworld,
8000000.0,31611,0.0,White Man's Burden,
30000000.0,65796,0.0,Wild Bill,
0.0,49805,0.0,The Browning Version,
0.0,26258,0.0,Bushwhacked,
2800000.0,50797,2616503.0,Burnt by the Sun,Burnt by the Sun Trilogy
0.0,19155,763847.0,Before the Rain,
2500000.0,76,5535405.0,Before Sunrise,Before... Collection
10000000.0,11017,26488734.0,Billy Madison,
0.0,37141,0.0,The Babysitter,
21000000.0,9382,23450000.0,Boys on the Side,
0.0,6715,0.0,The Cure,
0.0,18256,0.0,Castle Freak,
0.0,22625,0.0,Circle of Friends,
27000.0,2292,3151130.0,Clerks,Clerks Collection
25000000.0,1909,22200000.0,Don Juan DeMarco,
55000000.0,8984,214015089.0,Disclosure,
0.0,61813,0.0,Dream Man,
45000000.0,4954,0.0,Drop Zone,
0.0,62488,0.0,Destiny Turns on the Radio,
0.0,10531,0.0,Death and the Maiden,
0.0,11929,0.0,Dolores Claiborne,
16000000.0,8467,247275374.0,Dumb and Dumber,Dumb and Dumber Collection
0.0,10451,7294403.0,Eat Drink Man Woman,
0.0,20156,0.0,Exotica,
0.0,18395,6841570.0,Exit to Eden,
18000000.0,522,5887457.0,Ed Wood,
0.0,397,0.0,French Kiss,
0.0,10525,0.0,Forget Paris,
0.0,27985,0.0,Far from Home: The Adventures of Yellow Dog,
0.0,15789,35348597.0,A Goofy Movie,A Goofy Movie Collection
15000000.0,27303,12201255.0,Hideaway,
0.0,21183,0.0,Fluke,
0.0,10954,0.0,Farinelli,
0.0,47867,3992809.0,Gordy,
0.0,43475,0.0,Gumby: The Movie,
0.0,72031,0.0,The Glass Shield,
700000.0,14275,7830611.0,Hoop Dreams,
5000000.0,1024,3049135.0,Heavenly Creatures,
10500000.0,17207,26325256.0,Houseguest,
120.0,13701,0.0,Immortal Beloved,
0.0,14819,17689177.0,Heavyweights,
0.0,32631,0.0,The Hunted,
25000000.0,11777,0.0,I.Q.,
60000000.0,628,223664608.0,Interview with the Vampire,The Vampire Chronicles
14000000.0,87729,2474000.0,Jefferson in Paris,
0.0,18713,0.0,The Jerky Boys,
60000000.0,6280,37000000.0,Junior,
0.0,9061,0.0,Just Cause,
0.0,37108,0.0,A Kid in King Arthur's Court,
40000000.0,6071,0.0,Kiss of Death,
11000000.0,11,775398007.0,Star Wars,Star Wars Collection
18000000.0,9587,0.0,Little Women,
17000000.0,19101,0.0,A Little Princess,
0.0,49980,0.0,Ladybird Ladybird,
10000000.0,17961,0.0,L'Enfer,
2000000.0,18183,21665468.0,Like Water for Chocolate,
30000000.0,4476,160638883.0,Legends of the Fall,
0.0,11008,0.0,Major Payne,
0.0,47504,0.0,Little Odessa,
0.0,32325,0.0,Mi Vida Loca,
60000000.0,43742,0.0,Love Affair,
17000000.0,28313,7603766.0,Losing Isaiah,
0.0,11318,0.0,The Madness of King George,
45000000.0,3036,112006296.0,Mary Shelley's Frankenstein,
0.0,40490,0.0,Man of the House,
15000000.0,24070,0.0,Mixed Nuts,
0.0,8986,18137661.0,Milk Money,
0.0,10510,46264384.0,Miracle on 34th Street,
6.0,17402,5.0,Miami Rhapsody,
5500000.0,38722,0.0,My Family,
0.0,8438,17381942.0,Murder in the First,
0.0,11593,0.0,Nobody's Fool,
31000000.0,1945,106683817.0,Nell,
0.0,39310,0.0,New Jersey Drive,
0.0,109560,0.0,New York Cop,
4800000.0,56428,0.0,Beyond Bedlam,
0.0,63105,0.0,Nemesis 2 - Nebula,
0.0,131957,0.0,Nina Takes a Lover,
34000000.0,241,50282766.0,Natural Born Killers,
0.0,9058,0.0,Only You,
0.0,527,2201126.0,Once Were Warriors,
0.0,18220,0.0,Poison Ivy II: Lily,Poison Ivy Collection
50000000.0,6950,189859560.0,Outbreak,
16000000.0,101,45284974.0,Leon: The Professional,
11000000.0,63020,2832826.0,The Perez Family,
0.0,2307,0.0,A Pyromaniac's Love Story,
8000000.0,680,213928762.0,Pulp Fiction,
0.0,41478,6834525.0,Panther,
400000.0,25296,152322.0,Pushing Hands,
0.0,40156,4176932.0,Priest,
0.0,11450,0.0,Quiz Show,
0.0,30304,0.0,Picture Bride,
0.0,10452,0.0,Queen Margot,
32000000.0,12106,18552460.0,The Quick and the Dead,
22000000.0,161495,12400000.0,Roommates,
15000000.0,3586,11300653.0,Prêt-à-Porter,
0.0,110,0.0,Three Colors: Red,Three Colors Collection
0.0,108,0.0,Three Colors: Blue,Three Colors Collection
0.0,109,0.0,Three Colors: White,Three Colors Collection
0.0,159185,0.0,"Red Firecracker, Green Firecracker",
0.0,36357,0.0,Rent-a-Kid,
0.0,92769,0.0,Relative Fear,
0.0,28033,0.0,Stuart Saves His Family,
35000000.0,22586,9771658.0,The Swan Princess,Swan Princess Series
0.0,14334,0.0,The Secret of Roan Inish,
45000000.0,2636,170362582.0,The Specialist,
55000000.0,2164,196567262.0,Stargate,
22000000.0,11395,189833357.0,The Santa Clause,The Santa Clause Collection
25000000.0,278,28341469.0,The Shawshank Redemption,
0.0,9905,0.0,Shallow Grave,
0.0,87078,102780.0,Suture,
0.0,12527,0.0,Strawberry and Chocolate,
0.0,20306,0.0,Swimming with Sharks,
32.0,36614,0.0,The Sum of Us,
0.0,27993,0.0,Senior Trip,
0.0,31439,0.0,To Live,
25000000.0,9067,4064495.0,Tank Girl,
0.0,9059,0.0,Tales from the Crypt: Demon Knight,Tales from the Crypt Collection
38000000.0,193,120000000.0,Star Trek: Generations,Star Trek: The Next Generation Collection
6000000.0,25066,12000000.0,Tales from the Hood,
0.0,46797,0.0,Tom & Viv,
0.0,12122,0.0,Village of the Damned,
0.0,11381,32648673.0,Tommy Boy,
0.0,32636,0.0,Vanya on 42nd Street,
6500000.0,36141,0.0,The Underneath,
0.0,95963,0.0,The Walking Dead,
11000000.0,1587,10032765.0,What's Eating Gilbert Grape,
30000000.0,9271,24048000.0,Virtuosity,
17000000.0,2064,182057016.0,While You Were Sleeping,
0.0,19855,0.0,The War,
0.0,60855,759393.0,Double Happiness,
3000000.0,236,15119639.0,Muriel's Wedding,
0.0,48287,0.0,The Baby-Sitters Club,
15000000.0,3049,107217396.0,Ace Ventura: Pet Detective,Ace Ventura Collection
0.0,2759,11220670.0,"The Adventures of Priscilla, Queen of the Desert",
0.0,12635,0.0,Backbeat,
5000000.0,10497,1862805.0,Bitter Moon,
0.0,11382,0.0,Bullets Over Broadway,
62000000.0,9331,215887717.0,Clear and Present Danger,The Jack Ryan Collection
45000000.0,10731,117615211.0,The Client,
0.0,10464,0.0,"Corrina, Corrina",
0.0,34152,0.0,Crooklyn,
15000000.0,9495,94000000.0,The Crow,The Crow Collection
0.0,29973,1007583.0,Cobb,
46000000.0,888,341631208.0,The Flintstones,The Flintstones (Live-Action) Collection
55000000.0,13,677945399.0,Forrest Gump,
6000000.0,712,254700832.0,Four Weddings and a Funeral,
0.0,16295,38290723.0,Higher Learning,
0.0,48992,1777020.0,I Like It Like That,
45000000.0,10879,61947267.0,I Love Trouble,
0.0,10660,0.0,It Could Happen to You,
0.0,10714,0.0,The Jungle Book,
0.0,41647,449707.0,"The Wonderful, Horrible Life of Leni Riefenstahl",
45000000.0,8587,788241776.0,The Lion King,The Lion King Collection
35000000.0,1689,4858139.0,Little Buddha,
14000000.0,11596,18090181.0,New Nightmare,A Nightmare on Elm Street Collection
23000000.0,854,351583407.0,The Mask,The Mask Collection
0.0,9359,0.0,Maverick,
0.0,23333,0.0,Mrs. Parker and the Vicious Circle,
30000000.0,36593,51132598.0,The Naked Gun 33⅓: The Final Insult,Naked Gun Collection
6000000.0,12280,0.0,The Paper,
11500000.0,2788,20079850.0,Reality Bites,
8000000.0,10427,2000000.0,Red Rock West,
40000000.0,11011,0.0,Ri¢hie Ri¢h,
0.0,49803,0.0,Safe Passage,
45000000.0,8987,0.0,The River Wild,
30000000.0,1637,350448145.0,Speed,Speed Collection
0.0,15128,0.0,Speechless,
27000000.0,8831,101646581.0,Timecop,Timecop Collection
115000000.0,36955,378882411.0,True Lies,
0.0,10449,50021959.0,When a Man Loves a Woman,
0.0,10395,0.0,Wolf,
63000000.0,12160,25052000.0,Wyatt Earp,
0.0,40480,0.0,Bad Company,
0.0,52038,953.0,A Man of No Importance,
0.0,29444,0.0,S.F.W.,
10000000.0,26352,29392418.0,A Low Down Dirty Shame,
0.0,39953,0.0,"Boys Life: Three Stories of Love, Lust, and Liberation",
0.0,41580,0.0,Colonel Chabert,
45000.0,315,0.0,"Faster, Pussycat! Kill! Kill!",
7000000.0,22067,20851521.0,Jason's Lyric,
0.0,18242,0.0,The Secret Adventures of Tom Thumb,
35000000.0,11667,99423521.0,Street Fighter,Street Fighter
0.0,32502,0.0,Coldblooded,
0.0,267188,0.0,Desert Winds,
0.0,28732,0.0,Fall Time,
0.0,75555,0.0,The Fear,
0.0,42981,0.0,Frank and Ollie,
0.0,278939,0.0,Girl in the Cadillac,
0.0,291731,0.0,Homage,
0.0,226229,0.0,Mirage,
0.0,203119,0.0,Open Season,
0.0,172923,0.0,Dos Crímenes,
0.0,316098,0.0,Brother Minister: The Assassination of Malcolm X,
26000000.0,8011,36800000.0,Highlander: The Final Dimension,Highlander Collection
0.0,171857,0.0,Federal Hill,
8000000.0,2654,8946600.0,In the Mouth of Madness,
0.0,18069,0.0,8 Seconds,
0.0,19092,0.0,Above the Rim,
0.0,2758,48919043.0,Addams Family Values,Addams Family Collection
0.0,38129,0.0,Martin Lawrence: You So Crazy,
34000000.0,10436,32255440.0,The Age of Innocence,
0.0,13595,0.0,Airheads,
17080000.0,46094,21011500.0,The Air Up There,
0.0,9409,0.0,Another Stakeout,
0.0,11853,15240435.0,Bad Girls,
3200000.0,16771,0.0,Barcelona,
40000000.0,46924,0.0,Being Human,
0.0,11041,0.0,The Beverly Hillbillies,
50000000.0,306,119208989.0,Beverly Hills Cop III,Beverly Hills Cop Collection
0.0,14522,0.0,Black Beauty,
0.0,26203,16668552.0,Blink,
0.0,178,30156002.0,Blown Away,
0.0,19819,0.0,Blue Chips,
0.0,57834,0.0,Blue Sky,
13000000.0,4722,428868.0,Body Snatchers,
0.0,18215,1796389.0,Boxing Helena,
22000000.0,1607,17287898.0,A Bronx Tale,
0.0,26391,3662459.0,Cabin Boy,
13000000.0,117553,2570145.0,Calendar Girl,
30000000.0,6075,36516012.0,Carlito's Way,
0.0,11310,0.0,City Slickers II: The Legend of Curly's Gold,City Slickers Collection
0.0,18658,7355425.0,Clean Slate,
70000000.0,9350,255000211.0,Cliffhanger,
0.0,9612,0.0,Coneheads,
40000000.0,2124,19726050.0,Color of Night,
0.0,26261,0.0,Cops & Robbersons,
0.0,19176,0.0,The Cowboy Way,
0.0,49299,0.0,Dangerous Game,
0.0,11566,63000000.0,Dave,
6900000.0,9571,7993039.0,Dazed and Confused,
57000000.0,9739,159055768.0,Demolition Man,
0.0,24257,0.0,The Endless Summer 2,The Endless Summer Collection
8000000.0,34444,0.0,Even Cowgirls Get the Blues,
0.0,26141,0.0,Fatal Instinct,
0.0,10997,0.0,Farewell My Concubine,
0.0,50463,0.0,The Favor,
0.0,10443,0.0,Fearless,
0.0,20239,0.0,Fear of a Black Hat,
0.0,16297,0.0,With Honors,
0.0,18551,9488998.0,Flesh and Bone,
0.0,25440,0.0,Widows' Peak,
30000000.0,9024,11146270.0,For Love or Money,
42000000.0,37233,270248367.0,The Firm,
20000000.0,1634,153698625.0,Free Willy,Free Willy Collection
0.0,13815,0.0,Fresh,
44000000.0,5503,368875760.0,The Fugitive,The Fugitive / U.S. Marshals Collection
35000000.0,35588,18635620.0,Geronimo: An American Legend,
0.0,2087,30.0,The Getaway,
30000000.0,41579,0.0,Getting Even with Dad,
0.0,18620,0.0,Go Fish,
0.0,41006,0.0,A Good Man in Africa,
0.0,4916,22886222.0,Guilty as Sin,
18000000.0,2019,74189677.0,Hard Target,Hard Target Collection
33000000.0,31642,0.0,Heaven & Earth,
25000000.0,9255,133752825.0,Hot Shots! Part Deux,Hot Shots! Collection
0.0,26271,0.0,Live Nude Girls,
0.0,10612,0.0,The Englishman Who Went Up a Hill But Came Down a Mountain,
25000000.0,2259,0.0,The House of the Spirits,
0.0,16097,0.0,House Party 3,
30000000.0,11934,0.0,The Hudsucker Proxy,
40000000.0,106143,0.0,I'll Do Anything,
0.0,12475,28881266.0,In the Army Now,
40000000.0,9386,176997168.0,In the Line of Fire,
13000000.0,7984,65796862.0,In the Name of the Father,
0.0,59930,8880705.0,The Inkwell,
0.0,15765,0.0,What's Love Got to Do with It,
30000000.0,31643,0.0,Jimmy Hollywood,
0.0,6,12136938.0,Judgment Night,
63000000.0,329,920100000.0,Jurassic Park,Jurassic Park Collection
9000000.0,10909,2395231.0,Kalifornia,
1500000.0,507,418961.0,Killing Zoe,
0.0,34024,0.0,King of the Hill,
0.0,29918,0.0,Lassie,
85000000.0,9593,137298489.0,Last Action Hero,
0.0,42580,0.0,Life With Mikey,
0.0,22317,0.0,Lightning Jack,
0.0,1413,1499795.0,M. Butterfly,
22000000.0,12121,0.0,Made in America,
0.0,2246,46405336.0,Malice,
0.0,10502,24760338.0,The Man without a Face,
13500000.0,10440,11285588.0,Manhattan Murder Mystery,
3500000.0,9516,27900000.0,Menace II Society,
55000000.0,2320,121969216.0,Executive Decision,
0.0,5879,0.0,In the Realm of the Senses,
0.0,83718,0.0,What Happened Was...,
8000000.0,11971,0.0,Much Ado About Nothing,
0.0,2625,0.0,Mr. Jones,
0.0,31911,0.0,Mr. Wonderful,
25000000.0,788,441286195.0,Mrs. Doubtfire,
0.0,21450,0.0,Naked,
12000000.0,11231,15826984.0,The Next Karate Kid,The Karate Kid Collection
0.0,41588,0.0,The New Age,
20000000.0,10447,15340000.0,No Escape,
40000000.0,31586,0.0,North,
4000000.0,9300,0.0,Orlando,
30000000.0,9559,135130999.0,A Perfect World,
26000000.0,9800,206678440.0,Philadelphia,
7000000.0,713,116700000.0,The Piano,
14000000.0,8291,27515786.0,Poetic Justice,
0.0,18133,23042200.0,The Program,
0.0,25557,8638072.0,The Puppet Masters,
0.0,22588,0.0,Radioland Murders,
11000000.0,10872,11439193.0,The Ref,
11500000.0,1245,23237911.0,The Remains of the Day,
40000000.0,11858,24332324.0,Renaissance Man,
0.0,7007,107198790.0,Rising Sun,
0.0,10467,0.0,The Road to Wellville,
22000000.0,5550,10696210.0,RoboCop 3,RoboCop Collection
20000000.0,8005,35739755.0,Robin Hood: Men in Tights,
11500000.0,2088,3275585.0,Romeo Is Bleeding,
0.0,10412,0.0,Romper Stomper,
800000.0,47889,1001437.0,Ruby in Paradise,
12000000.0,14534,22750363.0,Rudy,
0.0,56583,0.0,The Saint of Fort Washington,
0.0,41878,0.0,Savage Nights,
22000000.0,424,321365567.0,Schindler's List,
0.0,35233,0.0,The Scout,
0.0,14291,7266383.0,Searching for Bobby Fischer,
0.0,103413,0.0,Second Best,
0.0,11236,0.0,The Secret Garden,The Secret Garden Collection
13000000.0,11592,7820688.0,Serial Mom,
25000000.0,8850,48063435.0,The Shadow,The Shadow Collection
22000000.0,10445,0.0,Shadowlands,
0.0,695,6110979.0,Short Cuts,
0.0,43535,0.0,A Simple Twist of Fate,
0.0,12519,7770731.0,Sirens,
0.0,23210,0.0,Six Degrees of Separation,
21000000.0,858,227799884.0,Sleepless in Seattle,
40000000.0,867,116300000.0,Sliver,
28000000.0,78,33139618.0,Blade Runner,Blade Runner Collection
0.0,13203,36448200.0,Son in Law,
20000000.0,10442,11585483.0,So I Married an Axe Murderer,
30.0,11074,0.0,Striking Distance,
0.0,33367,0.0,Harem,
48000000.0,9607,20915465.0,Super Mario Bros.,
7400000.0,17585,7690013.0,Surviving the Game,
50000000.0,9057,16478900.0,Terminal Velocity,
0.0,20967,0.0,Thirty Two Short Films About Glenn Gould,
0.0,10635,0.0,Threesome,
18000000.0,9479,75634409.0,The Nightmare Before Christmas,
30000000.0,10057,53898845.0,The Three Musketeers,
25000000.0,11969,56505065.0,Tombstone,
0.0,41590,0.0,Trial by Jury,
12500000.0,319,12281551.0,True Romance,
0.0,26408,0.0,The War Room,
27000000.0,15139,13670688.0,The Pagemaster,
0.0,161158,0.0,"Paris, France",
0.0,218473,0.0,"The Beans of Egypt, Maine",
0.0,85247,0.0,Killer,
0.0,11446,0.0,Welcome to the Dollhouse,
0.0,51980,0.0,Germinal,
0.0,24405,1596687.0,Chasers,
0.0,11655,0.0,Cronos,
0.0,11800,0.0,Naked in New York,
0.0,8223,0.0,Kika,
0.0,14587,0.0,Bhaji on the Beach,
0.0,31504,0.0,Little Big League,
0.0,41653,0.0,The Slingshot,
0.0,53185,0.0,Wide Eyed and Legless,
0.0,95743,0.0,Foreign Student,
0.0,23637,0.0,"Ciao, Professore!",
200000.0,17600,0.0,Spanking the Monkey,
0.0,10897,67308282.0,The Little Rascals,
0.0,349394,0.0,À la mode,
0.0,21352,0.0,Andre,
0.0,68806,0.0,The Escort,
0.0,37345,3021629.0,Princess Caraboo,
0.0,32562,0.0,The Celluloid Closet,
0.0,47507,0.0,Café au Lait,
0.0,25403,0.0,Dear Diary,
0.0,124304,0.0,I Don't Want to Talk About It,
0.0,9066,0.0,The Brady Bunch Movie,
18000000.0,771,476684675.0,Home Alone,Home Alone Collection
22000000.0,251,505000000.0,Ghost,
28000000.0,812,504050219.0,Aladdin,Aladdin Collection
100000000.0,280,520000000.0,Terminator 2: Judgment Day,The Terminator Collection
22000000.0,581,424208848.0,Dances with Wolves,
0.0,80350,0.0,Tough and Deadly,
35000000.0,268,411348924.0,Batman,Batman Collection
19000000.0,274,272742922.0,The Silence of the Lambs,The Hannibal Lecter Anthology
1488423.0,408,184925486.0,Snow White and the Seven Dwarfs,
25000000.0,10020,377350553.0,Beauty and the Beast,Beauty and the Beast Collection
2600000.0,10895,84300000.0,Pinocchio,
14000000.0,114,463000000.0,Pretty Woman,
0.0,41043,0.0,Window to Paris,
6244087.0,576,638641.0,The Wild Bunch,
0.0,15477,0.0,Love and a .45,
0.0,59146,0.0,The Wooden Man's Bride,
0.0,124472,0.0,A Great Day in Harlem,
0.0,30528,0.0,Bye Bye Love,
0.0,7300,97529550.0,One Fine Day,
