id,runtime,title,release_year
11859,91.0,Fair Game,1995
28387,96.0,Kicking and Screaming,1995
48750,175.0,Les Miserables,1995
20927,87.0,Bed of Roses,1996
36929,90.0,Big Bully,1996
9102,108.0,Screamers,1995
124626,70.0,Nico Icon,1995
27526,111.0,The Crossing Guard,1995
9623,118.0,The Juror,1996
46785,85.0,The White Balloon,1995
400,116.0,Things to Do in Denver When You're Dead,1995
880,102.0,Antonia's Line,1995
146599,115.0,Once Upon a Time... When We Were Colored,1996
188588,108.0,Last Summer in the Hamptons,1995
8447,118.0,Angels and Insects,1995
10534,129.0,White Squall,1996
17414,88.0,Dunston Checks In,1996
13997,87.0,Black Sheep,1996
2086,90.0,Nick of Time,1995
61548,91.0,The Journey of August King,1995
9095,104.0,Mary Reilly,1996
12158,100.0,Vampire in Brooklyn,1995
9283,112.0,Beautiful Girls,1996
9208,108.0,Broken Arrow,1996
40154,99.0,A Midwinter's Tale,1995
406,98.0,La Haine,1995
45549,105.0,Shopping,1994
63076,106.0,Heidi Fleiss: Hollywood Madam,1995
11062,111.0,City Hall,1996
13685,91.0,Bottle Rocket,1996
47475,96.0,Mr. Wrong,1996
2045,106.0,Unforgettable,1996
9614,92.0,Happy Gilmore,1996
688,135.0,The Bridges of Madison County,1995
11907,104.0,Nobody Loves Me,1994
10874,100.0,Muppet Treasure Island,1996
89333,95.0,Catwalk,1995
96357,110.0,Headless Body in Topless Bar,1995
197,177.0,Braveheart,1995
103,114.0,Taxi Driver,1976
33542,91.0,Rumble in the Bronx,1995
43566,108.0,Before and After,1996
71754,114.0,Margaret's Museum,1995
43612,106.0,Happiness Is in the Field,1995
51352,117.0,Anne Frank Remembered,1995
16934,99.0,The Young Poisoner's Handbook,1995
10324,92.0,If Lucy Fell,1996
78406,113.0,Steal Big Steal Little,1995
55731,100.0,Race the Sun,1996
32119,90.0,The Boys of St. Vincent,1992
11066,117.0,Boomerang,1992
11104,102.0,Chungking Express,1994
37975,113.0,The Star Maker,1995
2074,92.0,Flirting with Disaster,1996
27793,95.0,The Neverending Story III: Escape from Fantasia,1994
44284,116.0,The Silences of the Palace,1994
290157,87.0,Jupiter's Wife,1995
110972,95.0,Pie in the Sky,1996
32622,99.0,Angela,1995
73067,101.0,Frankie Starlight,1995
11863,95.0,Jade,1995
55475,102.0,Nueba Yol,1995
124636,87.0,Sonic Outlaws,1995
9101,92.0,Down Periscope,1996
123360,97.0,From the Journals of Jean Seberg,1995
5757,86.0,Man of the Year,1995
39428,91.0,The Neon Bible,1995
124639,122.0,Target,1995
9302,119.0,Up Close & Personal,1996
11000,117.0,The Birdcage,1996
249882,125.0,Virgin Mary,1995
16388,98.0,The Brothers McMullen,1995
9737,118.0,Bad Boys,1995
30765,81.0,The Amazing Panda Adventure,1995
10474,102.0,The Basketball Diaries,1995
22279,113.0,An Awfully Big Adventure,1995
30157,105.0,Amateur,1994
568,140.0,Apollo 13,1995
11780,139.0,Rob Roy,1995
34996,82.0,The Addiction,1995
414,121.0,Batman Forever,1995
649,101.0,Belle de Jour,1967
1873,100.0,Beyond Rangoon,1995
5894,83.0,Blue in the Face,1995
1775,91.0,Canadian Bacon,1995
8839,100.0,Casper,1995
20649,128.0,Clockers,1995
10329,109.0,Congo,1995
8963,116.0,Crimson Tide,1995
26564,119.0,Crumb,1994
8068,104.0,Desperado,1995
8512,102.0,Devil in a Blue Dress,1995
1572,128.0,Die Hard: With a Vengeance,1995
13552,80.0,The Doom Generation,1995
259209,116.0,Feast of July,1995
6520,134.0,First Knight,1995
9073,95.0,Free Willy 2 - The Adventure Home,1995
10428,107.0,Hackers,1995
17447,92.0,Jeffrey,1995
9886,97.0,Johnny Mnemonic,1995
9482,96.0,Judge Dredd,1995
19326,88.0,Jury Duty,1995
9344,91.0,Kids,1995
9071,89.0,Living in Oblivion,1995
8973,119.0,Lord of Illusions,1995
15730,100.0,Love & Human Remains,1993
47608,95.0,Mad Love,1995
2293,94.0,Mallrats,1995
9070,92.0,Mighty Morphin Power Rangers: The Movie,1995
68274,100.0,Moonlight and Valentino,1995
48787,95.0,Mute Witness,1995
34574,93.0,Nadja,1994
1642,114.0,The Net,1995
11472,103.0,Nine Months,1995
36196,94.0,Party Girl,1995
11980,98.0,The Prophecy,1995
58372,91.0,Reckless,1995
32646,119.0,Safe,1995
10533,135.0,The Scarlet Letter,1995
56088,93.0,The Show,1995
10802,128.0,Showgirls,1995
10149,112.0,Smoke,1995
18402,106.0,Something to Talk About,1995
9348,108.0,Species,1995
139408,109.0,The Stars Fell on Henrietta,1995
281,145.0,Strange Days,1995
5967,91.0,The Umbrellas of Cherbourg,1964
79593,99.0,The Tie That Binds,1995
47939,115.0,Three Wishes,1995
36834,111.0,Total Eclipse,1995
9090,105.0,"To Wong Foo, Thanks for Everything! Julie Newmar",1995
3512,100.0,Under Siege 2: Dark Territory,1995
52856,93.0,Unstrung Heroes,1995
77350,73.0,Unzipped,1995
9560,103.0,A Walk in the Clouds,1995
9804,135.0,Waterworld,1995
31611,89.0,White Man's Burden,1995
65796,98.0,Wild Bill,1995
49805,97.0,The Browning Version,1994
26258,90.0,Bushwhacked,1995
50797,135.0,Burnt by the Sun,1994
19155,113.0,Before the Rain,1994
76,105.0,Before Sunrise,1995
11017,89.0,Billy Madison,1995
37141,90.0,The Babysitter,1995
9382,115.0,Boys on the Side,1995
6715,97.0,The Cure,1995
18256,95.0,Castle Freak,1995
22625,103.0,Circle of Friends,1995
2292,92.0,Clerks,1994
1909,97.0,Don Juan DeMarco,1994
8984,123.0,Disclosure,1994
61813,0.0,Dream Man,1995
4954,101.0,Drop Zone,1994
62488,0.0,Destiny Turns on the Radio,1995
10531,103.0,Death and the Maiden,1994
11929,132.0,Dolores Claiborne,1995
8467,107.0,Dumb and Dumber,1994
10451,123.0,Eat Drink Man Woman,1994
20156,103.0,Exotica,1994
18395,113.0,Exit to Eden,1994
522,127.0,Ed Wood,1994
397,111.0,French Kiss,1995
10525,101.0,Forget Paris,1995
27985,87.0,Far from Home: The Adventures of Yellow Dog,1995
15789,78.0,A Goofy Movie,1995
27303,103.0,Hideaway,1995
21183,96.0,Fluke,1995
10954,111.0,Farinelli,1994
47867,90.0,Gordy,1995
43475,77.0,Gumby: The Movie,1995
72031,109.0,The Glass Shield,1994
14275,171.0,Hoop Dreams,1994
1024,99.0,Heavenly Creatures,1994
17207,113.0,Houseguest,1995
13701,121.0,Immortal Beloved,1994
14819,100.0,Heavyweights,1995
32631,106.0,The Hunted,1995
11777,100.0,I.Q.,1994
628,123.0,Interview with the Vampire,1994
87729,139.0,Jefferson in Paris,1995
18713,82.0,The Jerky Boys,1995
6280,109.0,Junior,1994
9061,102.0,Just Cause,1995
37108,89.0,A Kid in King Arthur's Court,1995
6071,101.0,Kiss of Death,1995
11,121.0,Star Wars,1977
9587,115.0,Little Women,1994
19101,97.0,A Little Princess,1995
49980,101.0,Ladybird Ladybird,1994
17961,100.0,L'Enfer,1994
18183,105.0,Like Water for Chocolate,1992
4476,133.0,Legends of the Fall,1994
11008,95.0,Major Payne,1995
47504,98.0,Little Odessa,1994
32325,92.0,Mi Vida Loca,1994
43742,108.0,Love Affair,1994
28313,106.0,Losing Isaiah,1995
11318,107.0,The Madness of King George,1994
3036,123.0,Mary Shelley's Frankenstein,1994
40490,96.0,Man of the House,1995
24070,97.0,Mixed Nuts,1994
8986,108.0,Milk Money,1994
10510,114.0,Miracle on 34th Street,1994
17402,95.0,Miami Rhapsody,1995
38722,128.0,My Family,1995
8438,122.0,Murder in the First,1995
11593,110.0,Nobody's Fool,1994
1945,112.0,Nell,1994
39310,98.0,New Jersey Drive,1995
109560,93.0,New York Cop,1993
56428,89.0,Beyond Bedlam,1994
63105,83.0,Nemesis 2 - Nebula,1995
131957,100.0,Nina Takes a Lover,1995
241,119.0,Natural Born Killers,1994
9058,115.0,Only You,1994
527,99.0,Once Were Warriors,1994
18220,106.0,Poison Ivy II: Lily,1996
6950,127.0,Outbreak,1995
101,110.0,Leon: The Professional,1994
63020,113.0,The Perez Family,1995
2307,94.0,A Pyromaniac's Love Story,1995
680,154.0,Pulp Fiction,1994
41478,124.0,Panther,1995
25296,105.0,Pushing Hands,1992
40156,98.0,Priest,1994
11450,133.0,Quiz Show,1994
30304,94.0,Picture Bride,1995
10452,162.0,Queen Margot,1994
12106,107.0,The Quick and the Dead,1995
161495,108.0,Roommates,1995
3586,133.0,Prêt-à-Porter,1994
110,99.0,Three Colors: Red,1994
108,98.0,Three Colors: Blue,1993
109,91.0,Three Colors: White,1994
159185,111.0,"Red Firecracker, Green Firecracker",1994
36357,85.0,Rent-a-Kid,1995
92769,90.0,Relative Fear,1995
28033,95.0,Stuart Saves His Family,1995
22586,89.0,The Swan Princess,1994
14334,97.0,The Secret of Roan Inish,1994
2636,110.0,The Specialist,1994
2164,121.0,Stargate,1994
11395,97.0,The Santa Clause,1994
278,142.0,The Shawshank Redemption,1994
9905,92.0,Shallow Grave,1994
87078,96.0,Suture,1993
12527,108.0,Strawberry and Chocolate,1993
20306,101.0,Swimming with Sharks,1994
36614,100.0,The Sum of Us,1994
27993,91.0,Senior Trip,1995
31439,125.0,To Live,1994
9067,98.0,Tank Girl,1995
9059,92.0,Tales from the Crypt: Demon Knight,1995
193,118.0,Star Trek: Generations,1994
25066,98.0,Tales from the Hood,1995
46797,115.0,Tom & Viv,1994
12122,99.0,Village of the Damned,1995
11381,97.0,Tommy Boy,1995
32636,119.0,Vanya on 42nd Street,1994
36141,99.0,The Underneath,1995
95963,88.0,The Walking Dead,1995
1587,118.0,What's Eating Gilbert Grape,1993
9271,106.0,Virtuosity,1995
2064,103.0,While You Were Sleeping,1995
19855,126.0,The War,1994
60855,87.0,Double Happiness,1994
236,106.0,Muriel's Wedding,1994
48287,94.0,The Baby-Sitters Club,1995
3049,86.0,Ace Ventura: Pet Detective,1994
2759,104.0,"The Adventures of Priscilla, Queen of the Desert",1994
12635,100.0,Backbeat,1994
10497,139.0,Bitter Moon,1992
11382,98.0,Bullets Over Broadway,1994
9331,141.0,Clear and Present Danger,1994
10731,119.0,The Client,1994
10464,115.0,"Corrina, Corrina",1994
34152,115.0,Crooklyn,1994
9495,102.0,The Crow,1994
29973,128.0,Cobb,1994
888,91.0,The Flintstones,1994
13,142.0,Forrest Gump,1994
712,117.0,Four Weddings and a Funeral,1994
16295,127.0,Higher Learning,1995
48992,104.0,I Like It Like That,1994
10879,123.0,I Love Trouble,1994
10660,101.0,It Could Happen to You,1994
10714,111.0,The Jungle Book,1994
41647,180.0,"The Wonderful, Horrible Life of Leni Riefenstahl",1993
8587,89.0,The Lion King,1994
1689,140.0,Little Buddha,1993
11596,112.0,New Nightmare,1994
854,101.0,The Mask,1994
9359,127.0,Maverick,1994
23333,125.0,Mrs. Parker and the Vicious Circle,1994
36593,83.0,The Naked Gun 33⅓: The Final Insult,1994
12280,112.0,The Paper,1994
2788,99.0,Reality Bites,1994
10427,98.0,Red Rock West,1993
11011,95.0,Ri¢hie Ri¢h,1994
49803,98.0,Safe Passage,1994
8987,111.0,The River Wild,1994
1637,116.0,Speed,1994
15128,99.0,Speechless,1994
8831,99.0,Timecop,1994
36955,141.0,True Lies,1994
10449,126.0,When a Man Loves a Woman,1994
10395,125.0,Wolf,1994
12160,191.0,Wyatt Earp,1994
40480,108.0,Bad Company,1995
52038,99.0,A Man of No Importance,1994
29444,96.0,S.F.W.,1994
26352,100.0,A Low Down Dirty Shame,1994
39953,91.0,"Boys Life: Three Stories of Love, Lust, and Liberation",1994
41580,110.0,Colonel Chabert,1994
315,83.0,"Faster, Pussycat! Kill! Kill!",1965
22067,119.0,Jason's Lyric,1994
18242,61.0,The Secret Adventures of Tom Thumb,1993
11667,102.0,Street Fighter,1994
32502,92.0,Coldblooded,1995
267188,97.0,Desert Winds,1997
28732,88.0,Fall Time,1995
75555,98.0,The Fear,1995
42981,89.0,Frank and Ollie,1995
278939,89.0,Girl in the Cadillac,1995
291731,97.0,Homage,1995
226229,92.0,Mirage,1995
203119,97.0,Open Season,1996
172923,0.0,Dos Crímenes,1995
316098,115.0,Brother Minister: The Assassination of Malcolm X,1995
8011,99.0,Highlander: The Final Dimension,1994
171857,97.0,Federal Hill,1995
2654,95.0,In the Mouth of Madness,1994
18069,105.0,8 Seconds,1994
19092,96.0,Above the Rim,1994
2758,94.0,Addams Family Values,1993
38129,84.0,Martin Lawrence: You So Crazy,1994
10436,139.0,The Age of Innocence,1993
13595,92.0,Airheads,1994
46094,107.0,The Air Up There,1994
9409,105.0,Another Stakeout,1993
11853,99.0,Bad Girls,1994
16771,100.0,Barcelona,1994
46924,122.0,Being Human,1994
11041,93.0,The Beverly Hillbillies,1993
306,104.0,Beverly Hills Cop III,1994
14522,88.0,Black Beauty,1994
26203,106.0,Blink,1994
178,121.0,Blown Away,1994
19819,108.0,Blue Chips,1994
57834,101.0,Blue Sky,1994
4722,87.0,Body Snatchers,1993
18215,107.0,Boxing Helena,1993
1607,121.0,A Bronx Tale,1993
26391,80.0,Cabin Boy,1994
117553,90.0,Calendar Girl,1993
6075,144.0,Carlito's Way,1993
11310,116.0,City Slickers II: The Legend of Curly's Gold,1994
18658,107.0,Clean Slate,1994
9350,112.0,Cliffhanger,1993
9612,88.0,Coneheads,1993
2124,121.0,Color of Night,1994
26261,93.0,Cops & Robbersons,1994
19176,102.0,The Cowboy Way,1994
49299,108.0,Dangerous Game,1993
11566,110.0,Dave,1993
9571,102.0,Dazed and Confused,1993
9739,115.0,Demolition Man,1993
24257,109.0,The Endless Summer 2,1994
34444,96.0,Even Cowgirls Get the Blues,1994
26141,91.0,Fatal Instinct,1993
10997,171.0,Farewell My Concubine,1993
50463,97.0,The Favor,1994
10443,122.0,Fearless,1993
20239,88.0,Fear of a Black Hat,1994
16297,103.0,With Honors,1994
18551,126.0,Flesh and Bone,1993
25440,101.0,Widows' Peak,1994
9024,94.0,For Love or Money,1993
37233,154.0,The Firm,1993
1634,112.0,Free Willy,1993
13815,114.0,Fresh,1994
5503,130.0,The Fugitive,1993
35588,115.0,Geronimo: An American Legend,1993
2087,115.0,The Getaway,1994
41579,109.0,Getting Even with Dad,1994
18620,83.0,Go Fish,1994
41006,94.0,A Good Man in Africa,1994
4916,107.0,Guilty as Sin,1993
2019,97.0,Hard Target,1993
31642,140.0,Heaven & Earth,1993
9255,86.0,Hot Shots! Part Deux,1993
26271,95.0,Live Nude Girls,1995
10612,99.0,The Englishman Who Went Up a Hill But Came Down a Mountain,1995
2259,140.0,The House of the Spirits,1993
16097,100.0,House Party 3,1994
11934,111.0,The Hudsucker Proxy,1994
106143,115.0,I'll Do Anything,1994
12475,91.0,In the Army Now,1994
9386,128.0,In the Line of Fire,1993
7984,133.0,In the Name of the Father,1993
59930,110.0,The Inkwell,1994
15765,118.0,What's Love Got to Do with It,1993
31643,112.0,Jimmy Hollywood,1994
6,110.0,Judgment Night,1993
329,127.0,Jurassic Park,1993
10909,117.0,Kalifornia,1993
507,96.0,Killing Zoe,1993
34024,103.0,King of the Hill,1993
29918,94.0,Lassie,1994
9593,130.0,Last Action Hero,1993
42580,91.0,Life With Mikey,1993
22317,98.0,Lightning Jack,1994
1413,101.0,M. Butterfly,1993
12121,111.0,Made in America,1993
2246,107.0,Malice,1993
10502,114.0,The Man without a Face,1993
10440,104.0,Manhattan Murder Mystery,1993
9516,97.0,Menace II Society,1993
2320,133.0,Executive Decision,1996
5879,105.0,In the Realm of the Senses,1976
83718,91.0,What Happened Was...,1994
11971,111.0,Much Ado About Nothing,1993
2625,114.0,Mr. Jones,1993
31911,98.0,Mr. Wonderful,1993
788,125.0,Mrs. Doubtfire,1993
21450,131.0,Naked,1993
11231,107.0,The Next Karate Kid,1994
41588,112.0,The New Age,1994
10447,118.0,No Escape,1994
31586,87.0,North,1994
9300,93.0,Orlando,1992
9559,138.0,A Perfect World,1993
9800,125.0,Philadelphia,1993
713,121.0,The Piano,1993
8291,109.0,Poetic Justice,1993
18133,112.0,The Program,1993
25557,109.0,The Puppet Masters,1994
22588,108.0,Radioland Murders,1994
10872,97.0,The Ref,1994
1245,134.0,The Remains of the Day,1993
11858,128.0,Renaissance Man,1994
7007,125.0,Rising Sun,1993
10467,118.0,The Road to Wellville,1994
5550,104.0,RoboCop 3,1993
8005,104.0,Robin Hood: Men in Tights,1993
2088,100.0,Romeo Is Bleeding,1993
10412,94.0,Romper Stomper,1992
47889,114.0,Ruby in Paradise,1993
14534,114.0,Rudy,1993
56583,99.0,The Saint of Fort Washington,1993
41878,126.0,Savage Nights,1992
424,195.0,Schindler's List,1993
35233,101.0,The Scout,1994
14291,110.0,Searching for Bobby Fischer,1993
103413,105.0,Second Best,1994
11236,102.0,The Secret Garden,1993
11592,95.0,Serial Mom,1994
8850,108.0,The Shadow,1994
10445,131.0,Shadowlands,1993
695,187.0,Short Cuts,1993
43535,106.0,A Simple Twist of Fate,1994
12519,98.0,Sirens,1993
23210,112.0,Six Degrees of Separation,1993
858,105.0,Sleepless in Seattle,1993
867,108.0,Sliver,1993
78,117.0,Blade Runner,1982
13203,95.0,Son in Law,1993
10442,93.0,So I Married an Axe Murderer,1993
11074,102.0,Striking Distance,1993
33367,113.0,Harem,1985
9607,104.0,Super Mario Bros.,1993
17585,96.0,Surviving the Game,1994
9057,102.0,Terminal Velocity,1994
20967,93.0,Thirty Two Short Films About Glenn Gould,1993
10635,93.0,Threesome,1994
9479,76.0,The Nightmare Before Christmas,1993
10057,105.0,The Three Musketeers,1993
11969,130.0,Tombstone,1993
41590,107.0,Trial by Jury,1994
319,120.0,True Romance,1993
26408,96.0,The War Room,1993
15139,80.0,The Pagemaster,1994
161158,112.0,"Paris, France",1994
218473,0.0,"The Beans of Egypt, Maine",1994
85247,97.0,Killer,1994
11446,88.0,Welcome to the Dollhouse,1995
51980,160.0,Germinal,1993
24405,102.0,Chasers,1994
11655,94.0,Cronos,1993
11800,95.0,Naked in New York,1993
8223,117.0,Kika,1993
14587,100.0,Bhaji on the Beach,1994
31504,119.0,Little Big League,1994
41653,102.0,The Slingshot,1993
53185,102.0,Wide Eyed and Legless,1993
95743,90.0,Foreign Student,1994
23637,100.0,"Ciao, Professore!",1992
17600,106.0,Spanking the Monkey,1994
10897,82.0,The Little Rascals,1994
349394,82.0,À la mode,1993
21352,94.0,Andre,1994
68806,92.0,The Escort,1993
37345,97.0,Princess Caraboo,1994
32562,102.0,The Celluloid Closet,1996
47507,94.0,Café au Lait,1993
25403,100.0,Dear Diary,1993
124304,106.0,I Don't Want to Talk About It,1993
9066,84.0,The Brady Bunch Movie,1995
771,103.0,Home Alone,1990
251,127.0,Ghost,1990
812,90.0,Aladdin,1992
280,137.0,Terminator 2: Judgment Day,1991
581,181.0,Dances with Wolves,1990
80350,92.0,Tough and Deadly,1995
268,126.0,Batman,1989
274,119.0,The Silence of the Lambs,1991
408,83.0,Snow White and the Seven Dwarfs,1937
10020,84.0,Beauty and the Beast,1991
10895,88.0,Pinocchio,1940
114,119.0,Pretty Woman,1990
41043,87.0,Window to Paris,1993
576,145.0,The Wild Bunch,1969
15477,101.0,Love and a .45,1994
59146,113.0,The Wooden Man's Bride,1994
124472,60.0,A Great Day in Harlem,1994
30528,106.0,Bye Bye Love,1995
7300,108.0,One Fine Day,1996
10824,93.0,Candyman: Farewell to the Flesh,1995
261246,112.0,Century,1993
275,98.0,Fargo,1996
25059,89.0,Homeward Bound II: Lost in San Francisco,1996
11827,90.0,Heavy Metal,1981
8766,86.0,Hellraiser: Bloodline,1996
23570,97.0,The Pallbearer,1996
47333,112.0,Jane Eyre,1996
54850,91.0,Loaded,1996
51242,100.0,Bread and Chocolate,1974
10112,78.0,The Aristocats,1970
4307,107.0,The Flower of My Secret,1995
46029,118.0,Two Much,1996
32308,94.0,Ed,1996
88893,105.0,Scream of Stone,1991
52873,127.0,My Favorite Season,1993
123505,90.0,A Modern Affair,1996
340210,83.0,Condition Red,1995
44281,98.0,Halfaouine: Boy of the Terraces,1990
28121,108.0,A Thin Line Between Love and Hate,1996
12520,92.0,The Last Supper,1995
1592,129.0,Primal Fear,1996
166901,89.0,Rude,1995
36447,109.0,Carried Away,1996
19042,82.0,All Dogs Go to Heaven 2,1996
38884,109.0,Land and Freedom,1995
47449,80.0,Denise Calls Up,1995
36259,92.0,Theodore Rex,1995
41852,109.0,A Family Thing,1996
40926,88.0,Frisk,1996
9099,90.0,Sgt. Bilko,1996
2021,110.0,Jack & Sarah,1995
61752,108.0,Girl 6,1996
10988,107.0,Diabolique,1996
11479,90.0,"Little Indian, Big City",1994
398959,97.0,Roula,1995
287305,,Peanuts – Die Bank zahlt alles,1996
339428,,Happy Weekend,1996
12652,106.0,Nelly and Monsieur Arnaud,1996
10684,117.0,Courage Under Fire,1996
954,110.0,Mission: Impossible,1996
68445,85.0,Cold Fever,1995
18989,123.0,Moll Flanders,1996
10801,86.0,The Superwife,1996
54285,100.0,"301, 302",1995
8840,103.0,DragonHeart,1996
278978,,Und keiner weint mir nach,1996
124625,93.0,My Mother's Courage,1995
11107,100.0,Eddie,1996
16417,100.0,Yankee Zulu,1993
70934,92.0,Billy's Holiday,1995
10363,115.0,Purple Noon,1960
161070,94.0,August,1996
10539,79.0,James and the Giant Peach,1996
10543,97.0,Fear,1996
18414,89.0,Kids in the Hall: Brain Candy,1996
47502,91.0,Faithful,1996
11902,170.0,Underground,1995
27098,130.0,All Things Fair,1995
25087,90.0,Bloodsport II,1996
5801,125.0,Pather Panchali,1955
896,117.0,The World of Apu,1959
3065,73.0,Mystery Science Theater 3000: The Movie,1996
318177,100.0,Tarantella,1996
2300,88.0,Space Jam,1996
8069,98.0,Barbarella,1968
288173,90.0,Hostile Intentions,1995
187851,98.0,They Bite,1996
27768,25.0,Some Folks Call It a Sling Blade,1994
221917,0.0,The Run of the Country,1995
8072,100.0,Alphaville,1965
35797,128.0,Coup de Torchon,1981
88030,75.0,Tigrero: A Film That Was Never Made,1994
185191,110.0,The Eye of Vichy,1993
83857,96.0,Windows,1980
33245,110.0,It's My Party,1996
124460,118.0,Country Life,1994
27281,107.0,Operation Dumbo Drop,1995
40001,105.0,Mrs. Winterbourne,1996
29621,94.0,Solo,1996
117730,0.0,Under The Domim Tree,1994
20762,114.0,The Substitute,1996
37144,94.0,True Crime,1996
48260,88.0,Butterfly Kiss,1995
12656,99.0,Feeling Minnesota,1996
38867,99.0,Delta of Venus,1995
277270,0.0,To Cross the Rubicon,1991
25969,90.0,Angus,1995
44103,138.0,Priest Daens,1992
753,130.0,Faces,1968
43634,86.0,Boys,1996
9103,95.0,The Quest,1996
90214,102.0,Cosi,1996
29649,99.0,Sunset Park,1996
10990,107.0,Mulholland Falls,1996
8866,93.0,The Truth About Cats & Dogs,1996
12233,74.0,Oliver & Company,1988
23449,91.0,Celtic Pride,1996
36355,95.0,Flipper,1996
37667,100.0,Captives,1994
90148,103.0,Of Love and Shadows,1994
922,121.0,Dead Man,1995
11876,135.0,The Horseman on the Roof,1995
52633,91.0,Switchblade Sisters,1975
62364,106.0,Mouth to Mouth,1995
11687,107.0,The Visitors,1993
9304,117.0,Multiplicity,1996
73183,112.0,"The Haunted World of Edward D. Wood, Jr.",1996
131232,86.0,Two Friends,2002
9100,101.0,The Craft,1996
20759,91.0,The Great White Hype,1996
46063,103.0,Last Dance,1996
32513,95.0,Cold Comfort Farm,1995
40651,104.0,"Institute Benjamenta, or This Dream People Call Human Life",1995
36915,132.0,Heaven's Prisoners,1996
40507,99.0,Original Gangstas,1996
9802,136.0,The Rock,1996
25697,91.0,Getting Away with Murder,1996
21588,105.0,Cemetery Man,1994
664,113.0,Twister,1996
11867,98.0,Barb Wire,1996
47119,102.0,Le Garçu,1995
314352,92.0,Honeymoon,1996
9323,83.0,Ghost in the Shell,1995
10280,92.0,Thinner,1996
10535,81.0,Spy Hard,1996
124613,102.0,Brothers in Trouble,1995
532,30.0,A Close Shave,1995
26744,78.0,Force of Evil,1948
16299,94.0,The Stupids,1996
10547,115.0,The Arrival,1996
245268,103.0,The Man from Down Under,1943
935,95.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
55613,100.0,Careful,1992
41007,92.0,A Month by the Lake,1995
35645,94.0,Gold Diggers: The Secret of Bear Mountain,1995
110465,113.0,Kim,1950
255546,91.0,Carmen Miranda: Bananas Is My Business,1995
40751,100.0,Ashes of Time,1994
275096,86.0,The Jar,1994
85778,105.0,Maya Lin: A Strong Clear Vision,1995
11101,134.0,Stalingrad,1993
9826,100.0,The Phantom,1996
9879,115.0,Striptease,1996
63564,102.0,The Last of the High Kings,1996
22621,105.0,Heavy,1995
7095,113.0,Jack,1996
26890,103.0,I Shot Andy Warhol,1996
46732,107.0,The Grass Harp,1995
124633,96.0,Someone Else's America,1995
202425,80.0,Life is Rosy,1987
196940,80.0,Quartier Mozart,1992
77771,85.0,Touki Bouki,1973
181083,75.0,God's Gift,1982
41225,121.0,Spirits of the Dead,1968
188589,109.0,Babyfever,1994
87190,90.0,Pharaoh's  Army,1995
627,93.0,Trainspotting,1996
32872,113.0,Til There Was You,1997
602,145.0,Independence Day,1996
14553,116.0,Stealing Beauty,1996
9566,116.0,The Fan,1996
10545,91.0,The Hunchback of Notre Dame,1996
9894,96.0,The Cable Guy,1996
